design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,d_shaft_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
2815,0.122,0.135,0.011,0.2498362802949971,1.887916925427687,3.1415926535897927,0.008,0.004,0.013,0.019,0.0068,0.0024,0.0035,0.01080818736599706,0.09397760699485835,0.02170506531091,3.478583333333333e-09,137705.72535538455,4.0124641884911405,34319.49019018356,True
2816,0.122,0.135,0.011,0.2498362802949971,1.887916925427687,3.1415926535897927,0.01,0.02,0.008,0.013,0.0036,0.0037,0.001,0.06869764412536745,0.03929366678540605,0.022196331862115105,5.546666666666667e-10,21957.43736591619,3.772938032082698,5819.718526836094,True
2817,0.122,0.135,0.011,0.2498362802949971,1.887916925427687,3.1415926535897927,0.01,0.019,0.017,0.011,0.0058,0.0039,0.0026,0.06497564089110658,0.07134298105586784,0.02194480338789809,1.8855833333333333e-09,74644.07080507596,3.913567499494566,19073.152772940844,True
2818,0.122,0.135,0.011,0.2498362802949971,1.887916925427687,3.1415926535897927,0.018,0.014,0.018,0.017,0.0061,0.0012,0.0014,0.08684392252952407,0.11582148308151265,0.0221544104497456,7.369500000000001e-09,291734.37740646524,4.112595121341969,70936.80967828173,True
2819,0.122,0.135,0.011,0.2498362802949971,1.887916925427687,3.1415926535897927,0.009,0.019,0.014,0.014,0.0059,0.0023,0.0036,0.0582818802872748,0.07460833553852045,0.021674060933011722,3.201333333333334e-09,126730.30556626151,3.9262090227934654,32278.03329637655,True
2820,0.122,0.135,0.011,0.2498362802949971,1.887916925427687,3.1415926535897927,0.019,0.017,0.016,0.011,0.006,0.0016,0.002,0.1115295851126846,0.06677594935851129,0.02206532744846041,1.7746666666666665e-09,70253.24311065972,3.8941135119714074,18040.882191719622,True
2821,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.017,0.019,0.007,0.015,0.0056,0.003,0.0011,0.10275609825721727,0.058060206234146386,0.022187161553159272,4.2875000000000004e-10,7890.252016051736,3.477728476167524,2268.7947233726645,True
2822,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.008,0.017,0.008,0.001,0.0068,0.0037,0.0011,0.04210540322207435,0.004424363237275751,0.022187161553159272,6.666666666666668e-13,12.268613436037686,3.196676486278051,3.8379277630068405,True
2823,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.016,0.002,0.015,0.003,0.0057,0.0029,0.0026,0.010167445316050768,0.025014458152242916,0.02194480338789809,3.375e-11,621.0985551994078,3.3030949188219987,188.03533366849587,True
2824,0.112,0.198,0.068,0.24980020954273274,1.5637303433672642,3.1415926535897927,0.019,0.02,0.018,0.01,0.0071,0.0039,0.0022,0.12126149679199298,0.10016764691770388,0.022028646212637094,1.5000000000000002e-09,27604.380231084793,3.6974037319828157,7465.88207079061,True
