design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,d_shaft_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,utilization,utilization_max,check_static_passed,n_static_rod,n_static_rod_min,check_static_sf_rod_passed,n_static_crank,n_static_crank_min,check_static_sf_crank_passed,n_static_pin,n_static_pin_min,check_static_sf_pin_passed,n_shaft,n_shaft_min,check_shaft_passed,n_buck,n_buck_min,P_cr,N_max_comp,check_buckling_passed,n_rod,S_n_prime_rod,sigma_a_eq_rod,sigma_m_eq_rod,n_f_rod,n_y_rod,N_f_rod,t_f_rod,n_fatigue_rod_min,check_fatigue_rod_passed,n_crank,S_n_prime_crank,sigma_a_eq_crank,sigma_m_eq_crank,n_f_crank,n_y_crank,N_f_crank,t_f_crank,n_fatigue_crank_min,check_fatigue_crank_passed,n_pin,S_n_prime_pin,sigma_a_eq_pin,sigma_m_eq_pin,n_f_pin,n_y_pin,N_f_pin,t_f_pin,n_fatigue_pin_min,check_fatigue_pin_passed,D_rod,D_miner_rod_max,check_miner_rod_passed,D_crank,D_miner_crank_max,check_miner_crank_passed,D_pin,D_miner_pin_max,check_miner_pin_passed,sigma_max,tau_max,theta_sigma_max,theta_tau_max,pass_fail,total_mass,volume_envelope,tau_A_max,E_rev,F_A_max,F_B_max,F_C_max
1746,0.077,0.313,0.226,0.2498721465332371,1.5324756058599653,3.1415926535897927,0.006,0.005,0.01,0.001,0.0038,0.0035,0.003,0.006434834349963017,0.008745352603497295,0.02184698675903592,5.83301385844252,1.0,False,16.14497543205626,1.0,True,41.42453332635996,1.0,True,120.04903893447347,1.0,True,7.849151566423875,2.0,True,2.588479030953921,3.0,6.136873923721042,2.3708416604245954,False,0.0877728778329445,94802400.0,852678956.2892097,1158603491.2692184,0.0877728778329445,0.1715323476415799,2.544814435218721,5.089628870437442,1.0,False,18.552122028220726,94802400.0,4169051.5596127477,4794241.503978925,18.552122028220726,38.49031796152779,1.882877872448154e+27,3.765755744896308e+27,1.0,True,5.36040437147276,94802400.0,14561191.49701381,15918671.602410108,5.36040437147276,11.318948476724644,9.099390439192377e+20,1.8198780878384755e+21,1.0,True,7356135.575516357,1.0,False,9.942227413645207e-21,1.0,True,2.0572806634794216e-14,1.0,True,21368877.360754214,1161148903.7308602,2.0943951023931953,2.0943951023931953,0,0.03702717371249623,0.0025343154798159444,0.18416872070178034,0.29289022271995657,4.808951552325945,4.838652421260045,4.158919817418175
1753,0.094,0.252,0.144,0.24958779793138375,1.591877082578299,3.1415926535897927,0.01,0.018,0.01,0.019,0.0057,0.0014,0.0011,0.04746008938487874,0.13363514340275962,0.022187161553159272,0.696156451236771,1.0,True,421.16177937040663,1.0,True,247.04117219274696,1.0,True,1.4364587130140498,1.0,True,19.434087908675952,2.0,True,5120.005344074124,3.0,17988.22850092515,3.513322212006021,True,144.80622563943308,90925915.20763782,477712.9148858055,797872.8639658605,144.80622563943308,270.4639748418824,1.6412482923517444e+38,3.2824965847034888e+38,1.0,True,83.68584324521143,91196703.76639783,894156.4084640855,1035914.9458039418,83.68584324521143,178.749868100519,1.120771768212547e+35,2.241543536425094e+35,1.0,True,0.785440600965874,94802400.0,91407042.93698238,149240164.25595984,0.785440600965874,1.433633924217502,481358605799.40546,962717211598.8109,1.0,False,1.1405952461450008e-31,1.0,True,1.6702776185962847e-28,1.0,True,3.888992483869938e-05,1.0,True,240173975.67668596,8675245.32279676,2.0943951023931953,0.7853981633974483,0,0.20328239434079762,0.003893081098062599,0.3105027017945923,0.5041076485789012,5.7486524563368055,5.954825739090037,5.008874932136683
1755,0.094,0.252,0.144,0.24958779793138375,1.591877082578299,3.1415926535897927,0.013,0.001,0.008,0.016,0.0048,0.0018,0.0039,0.003459042066819244,0.09004128228481892,0.021575807622770702,12.047082265676183,1.0,False,271.40812559621594,1.0,True,10.80920214973086,1.0,True,4.2431160675016235,1.0,True,12.276206277284189,2.0,True,2369.9329173123615,3.0,7755.7667305041505,3.27256804352911,True,120.47703829248317,92922862.71379176,592554.1799922579,929049.2253239014,120.47703829248317,226.73450834471274,1.3404626301173854e+37,2.680925260234771e+37,1.0,True,0.03836162865571491,94802400.0,2060378745.16413,2093472760.4443927,0.03836162865571491,0.0830554485479757,8.918455569586676e-05,0.0001783691113917335,1.0,False,2.2292459916389795,94802400.0,32324412.62790283,51978519.950592875,2.2292459916389795,4.092384326948121,8.548224536872384e+16,1.7096449073744768e+17,1.0,True,1.3965327775203009e-30,1.0,True,209901813760.6484,1.0,False,2.1899284370985014e-10,1.0,True,81308169.3999331,2398152431.2168293,2.0943951023931953,0.7853981633974483,0,0.11507613197440886,0.00207630991896672,0.2722569788309641,0.48491534272963527,5.802490484388317,5.81917752021285,4.843430012401887
1760,0.094,0.252,0.144,0.24958779793138375,1.591877082578299,3.1415926535897927,0.009,0.005,0.017,0.016,0.0062,0.0013,0.0024,0.011790424406669761,0.191690953898206,0.02198847152578299,0.6591937110726178,1.0,True,917.0250926523928,1.0,True,48.14329405557134,1.0,True,1.5170047638543664,1.0,True,23.611098961138723,2.0,True,17219.07169241421,3.0,65924.01720928527,3.8285465318277185,True,341.20138060881607,89149279.88115469,196325.7127374376,351917.36896043736,341.20138060881607,629.2829066470958,5.078709287708415e+42,1.015741857541683e+43,1.0,True,8.64043373373342,94802400.0,9098082.789954873,9546989.068542968,8.64043373373342,18.50354896019131,2.1576338798878634e+23,4.315267759775727e+23,1.0,True,0.8826009312714773,94802400.0,78021219.88113339,149743079.60723987,0.8826009312714773,1.5147237770580075,3034478932233.9663,6068957864467.933,1.0,False,3.685975892596665e-36,1.0,True,8.67617076951578e-17,1.0,True,6.169098688129115e-06,1.0,True,227421830.32005313,9923272.023043567,2.0943951023931953,0.7853981633974483,0,0.22546984983065876,0.002387756406811728,0.33026883339920937,0.5288109437669075,6.081252743885363,6.1315759875958324,5.220610968109547
1761,0.118,0.139,0.02,0.24981748383303432,2.208095278812123,3.1415926535897927,0.012,0.006,0.008,0.018,0.0051,0.0015,0.0014,0.023909189527011827,0.056059485425554126,0.0221544104497456,1.3639638164398447,1.0,False,395.7484224584779,1.0,True,80.96238775117656,1.0,True,0.7331572787686947,1.0,False,7.087179348971373,2.0,True,7603.847000457041,3.0,28677.992172282866,3.7715109431527396,True,174.64068251453736,92322847.75377735,420789.851990815,564257.147258406,174.64068251453736,350.23709555275093,7.176158445236354e+38,1.4352316890472708e+39,1.0,True,27.494203200160726,94802400.0,2816347.004268233,3218592.953391501,27.494203200160726,57.16709733990232,1.8015608133651318e+29,3.6031216267302636e+29,1.0,True,0.3552016007577035,94802400.0,216960622.6613481,254418512.55447868,0.3552016007577035,0.7318949317560216,20765281.426469326,41530562.85293865,1.0,False,2.6086380537523706e-32,1.0,True,1.0390989780152327e-22,1.0,True,0.901504757654658,1.0,True,470567516.67174643,15962415.912262252,2.0943951023931953,0.7853981633974483,0,0.10212308540231156,0.002266901587615757,0.41120396017848265,0.7236992416864322,17.142887038405263,17.324196719460364,9.529766954286345
1763,0.118,0.139,0.02,0.24981748383303432,2.208095278812123,3.1415926535897927,0.013,0.002,0.017,0.019,0.0057,0.0021,0.0013,0.008649796571204725,0.12608710114095703,0.022166200846974522,5.269625169859703,1.0,False,1118.2575298767458,1.0,True,13.235022946990345,1.0,True,0.8186936921561241,1.0,False,9.33037394346571,2.0,True,70907.15237024955,3.0,290473.5823899837,4.096534308319755,True,490.3210330282258,88310631.51199701,143484.30951993648,200305.83773902146,490.3210330282258,1003.5191606004075,1.9460664419566318e+44,3.8921328839132636e+44,1.0,True,0.08760161202391306,94802400.0,902725659.4817165,914383503.6385337,0.08760161202391306,0.18986201104593134,1.3110825783882627,2.6221651567765254,1.0,False,0.3969017627283203,94802400.0,194134907.7067471,227845784.5254197,0.3969017627283203,0.8175729514424955,75631306.08286951,151262612.16573903,1.0,False,9.619404351466216e-38,1.0,True,14278276.829071157,1.0,False,0.2475165506131604,1.0,True,421403026.9262278,1048997934.4381218,2.0943951023931953,0.7853981633974483,0,0.15690309855913628,0.0019495353653495506,0.45779488170994925,0.7681231203243839,18.11108996461446,18.176332907354073,10.1232501121109
1767,0.118,0.139,0.02,0.24981748383303432,2.208095278812123,3.1415926535897927,0.009,0.002,0.019,0.009,0.0069,0.0016,0.0026,0.005898306952231464,0.06689297382971073,0.02194480338789809,3.7595911558419726,1.0,False,601.6386569381506,1.0,True,15.051312320244286,1.0,True,1.7668068033235242,1.0,True,17.299879052973214,2.0,True,11281.905382394263,3.0,43101.005813616524,3.820365829417155,True,280.7496794131687,91454344.88075455,262209.0453956382,335582.92374506354,280.7496794131687,577.123845433925,1.7557740485282616e+41,3.511548097056523e+41,1.0,True,0.12261591040022514,94802400.0,645366639.4170729,651110968.334977,0.12261591040022514,0.2661056372567762,64.92157717545807,129.84315435091614,1.0,False,0.8558445616165652,94802400.0,89993672.97241285,105854355.50239582,0.8558445616165652,1.7615699411769992,576982604329.7394,1153965208659.4788,1.0,False,1.0661964172264433e-34,1.0,True,288347.89317282045,1.0,False,3.244465233357663e-05,1.0,True,195267529.73274928,748403013.4376823,2.0943951023931953,0.7853981633974483,0,0.09473608416984028,0.0018135212700926056,0.4118612052707576,0.7303174218530376,17.40450648334918,17.449273938290684,9.617958797469566
1768,0.118,0.139,0.02,0.24981748383303432,2.208095278812123,3.1415926535897927,0.01,0.019,0.019,0.006,0.0047,0.0015,0.0039,0.0629552816476875,0.04467883029375891,0.021575807622770702,1.4267277393475581,1.0,False,159.24707246594537,1.0,True,206.11226043695302,1.0,True,0.700904575148514,1.0,False,5.681899519204154,2.0,True,3437.7767413128195,3.0,12770.668389219716,3.714804465266947,True,72.55873457893719,93516740.74341758,1045448.0260572357,1257093.2526069777,72.55873457893719,149.83444735468404,1.8201649508435486e+34,3.640329901687097e+34,1.0,True,84.13634222378667,90925915.20763782,896127.6949316435,980436.6966528896,84.13634222378667,183.84660901973575,1.0924364526430173e+35,2.1848729052860345e+35,1.0,True,0.338971793077721,94802400.0,227450978.21918786,266078320.2342066,0.338971793077721,0.6990466444062176,11991833.983255792,23983667.966511585,1.0,False,1.0284782151927652e-27,1.0,True,1.7136008190416233e-28,1.0,True,1.561062305076834,1.0,False,492221070.07490754,20732381.164930467,2.0943951023931953,0.7853981633974483,0,0.12920991956421712,0.002901634032148169,0.418200841866047,0.7157495911290911,16.691791270554926,17.16762690691397,9.423370628842015
1775,0.113,0.181,0.056,0.2500427907492644,1.6560249151118638,3.1415926535897927,0.016,0.001,0.019,0.006,0.0052,0.0035,0.0014,0.005133941943125118,0.05795281672819668,0.0221544104497456,4.20601760155321,1.0,False,951.13841426106,1.0,True,30.05822040191522,1.0,True,12.243286938501454,1.0,True,14.950909574978393,2.0,True,2125.3003526238954,3.0,7531.579742624285,3.5437719347883223,True,442.5523905547735,93516740.74341758,161117.5117754738,259248.3192093601,442.5523905547735,820.7137083233747,5.056246026971058e+43,1.0112492053942117e+44,1.0,True,0.10969744089617475,94802400.0,721102240.9885942,729142492.1240318,0.10969744089617475,0.23789088291293747,17.866371029468116,35.73274205893623,1.0,False,4.869289929251477,94802400.0,15504843.872841107,20198909.2632646,4.869289929251477,9.66284969215508,4.384435128107079e+20,8.768870256214158e+20,1.0,True,3.7023514876735947e-37,1.0,True,1047778.5314725604,1.0,False,4.2696492143292605e-14,1.0,True,28178707.379231535,837270893.8531898,2.356194490192345,0.7853981633974483,0,0.0852411691210674,0.0018605106199454278,0.34422134334260934,0.7375019253942819,4.765216021170146,4.788145289106414,4.070052409261809
1780,0.113,0.181,0.056,0.2500427907492644,1.6560249151118638,3.1415926535897927,0.007,0.002,0.018,0.013,0.0053,0.0035,0.0034,0.0043930507317723215,0.11931258406402435,0.02173519632605058,6.7507823194959,1.0,False,1728.0247650882586,1.0,True,11.523626652746906,1.0,True,45.28593071095444,1.0,True,14.13779710951531,2.0,True,18814.70663095361,3.0,72574.03813397171,3.857303733589672,True,727.7260847248697,89890181.43270203,92251.15012633377,168025.25309374504,727.7260847248697,1325.5139372288102,3.309554646942797e+46,6.619109293885594e+46,1.0,True,0.06876814760536913,94802400.0,1146768242.9078097,1181036855.2042391,0.06876814760536913,0.1482082843962366,0.08114456940319426,0.1622891388063885,1.0,False,6.750794525385052,94802400.0,11503867.40338546,12937141.393736517,6.750794525385052,14.115620302899488,1.409821078064818e+22,2.819642156129636e+22,1.0,True,5.6563501730641044e-40,1.0,True,230699357.18043366,1.0,False,1.3278280691969714e-15,1.0,True,29938491.62214586,1343844482.4304514,0.7853981633974483,0.7853981633974483,0,0.14544083112184725,0.0018605106199454278,0.3857229942880588,0.7776409238754837,4.915571981435176,4.933401574862808,4.275375695410192
1792,0.068,0.266,0.197,0.2498419109335545,1.729234256067289,3.1415926535897927,0.017,0.013,0.018,0.02,0.0048,0.0033,0.0011,0.04330300005301752,0.26788617553159266,0.022187161553159272,3.1617442291274727,1.0,False,318.478327432604,1.0,True,160.38934604002011,1.0,True,0.3162811181206659,1.0,False,3.4715500768423584,2.0,True,26630.241833307904,3.0,99110.60198873341,3.721731203536062,True,91.41042358488588,87785440.27473111,796978.9948024553,898841.951715588,91.41042358488588,203.4412894288007,4.270948862448667e+35,8.541897724897334e+35,1.0,True,51.97547529468106,90173214.99819414,1440990.8376478706,1574381.8559263544,51.97547529468106,114.4137176592455,4.361741311901267e+32,8.723482623802534e+32,1.0,True,0.15134246476653102,94802400.0,512725935.25833106,579197328.5669818,0.15134246476653102,0.31595626856723286,942.4618561350358,1884.9237122700715,1.0,False,4.383100946160064e-29,1.0,True,4.291863882188836e-26,1.0,True,19862.87283473656,1.0,False,1090801759.048978,28564781.905406345,1.8325957145940461,1.8325957145940461,0,0.33337633713776943,0.003155527399469751,0.5889214341173065,0.1709914323880984,26.128253991592533,26.465756003116965,14.593342350026758
1793,0.068,0.266,0.197,0.2498419109335545,1.729234256067289,3.1415926535897927,0.008,0.011,0.006,0.011,0.005,0.0018,0.0027,0.01678904248237176,0.048965605979439615,0.021921659274819098,0.6309450446995489,1.0,True,30.254180492287304,1.0,True,51.039837509126905,1.0,True,1.5849240887155112,1.0,True,4.619207574325949,2.0,True,808.0998682771843,3.0,2018.9196701408662,2.4983541631371255,True,11.469720483568837,94802400.0,6762157.421344373,7658986.124638717,11.469720483568837,23.923206845555416,6.798348492138011e+24,1.3596696984276023e+25,1.0,True,18.768025500600427,94802400.0,4185118.34060892,4412885.892862119,18.768025500600427,40.12559085013645,1.8005202261931747e+27,3.6010404523863495e+27,1.0,True,0.7614953724272097,94802400.0,101040391.89933865,119496943.43716076,0.7614953724272097,1.564360970778909,150132996742.93817,300265993485.87634,1.0,False,2.7536099424218763e-18,1.0,True,1.0396995117116536e-20,1.0,True,0.00012468944473314483,1.0,True,217676040.42134437,20430856.92396635,1.8325957145940461,1.8325957145940461,0,0.08767630773663047,0.0025339841238166184,0.4732893919848911,0.14118699779562294,22.527424030067422,22.66028402950924,12.249624747766953
