design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,utilization,utilization_max,check_static_passed,n_static_rod,n_static_rod_min,check_static_sf_rod_passed,n_static_crank,n_static_crank_min,check_static_sf_crank_passed,n_static_pin,n_static_pin_min,check_static_sf_pin_passed,n_buck,n_buck_min,P_cr,N_max_comp,check_buckling_passed,n_rod,S_n_prime_rod,sigma_a_eq_rod,sigma_m_eq_rod,n_f_rod,n_y_rod,N_f_rod,t_f_rod,n_fatigue_rod_min,check_fatigue_rod_passed,n_crank,S_n_prime_crank,sigma_a_eq_crank,sigma_m_eq_crank,n_f_crank,n_y_crank,N_f_crank,t_f_crank,n_fatigue_crank_min,check_fatigue_crank_passed,n_pin,S_n_prime_pin,sigma_a_eq_pin,sigma_m_eq_pin,n_f_pin,n_y_pin,N_f_pin,t_f_pin,n_fatigue_pin_min,check_fatigue_pin_passed,D_rod,D_miner_rod_max,check_miner_rod_passed,D_crank,D_miner_crank_max,check_miner_crank_passed,D_pin,D_miner_pin_max,check_miner_pin_passed,sigma_max,tau_max,theta_sigma_max,theta_tau_max,pass_fail,total_mass,volume_envelope,tau_A_max,E_rev,F_A_max,F_B_max,F_C_max
22,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.007,0.007,0.007,0.003,0.0022,0.0033,0.0033,0.016344370066874694,0.00956593019353004,0.021764453978433462,0.18308491029286417,1.0,True,146.45341359166332,1.0,True,750.0924650114181,1.0,True,20.88735611652744,1.0,True,123.21056548283981,3.0,427.6834764983328,3.471159107356735,True,46.88350612378679,94802400.0,1577368.012021389,2265743.7994495737,46.88350612378679,89.77100249080449,1.5240911866190513e+32,3.0481823732381025e+32,1.0,True,2.547928513880293,94802400.0,30877666.26673491,32249985.306515325,2.547928513880293,5.465116971754903,1.4558294204085622e+17,2.9116588408171245e+17,1.0,True,11.388186635183656,94802400.0,6286730.153929101,10382689.937605498,11.388186635183656,20.6965808111828,1.586895308127388e+25,3.173790616254776e+25,1.0,True,1.228272964528276e-25,1.0,True,1.285864932908585e-10,1.0,True,1.179661941410016e-18,1.0,True,16517169.433761582,36445797.667449005,2.356194490192345,0.7853981633974483,1,0.0476747542388382,0.0013636692353489292,0.3443963972237967,0.7463816044251744,4.933277168517968,5.016179011055701,4.056563381885885
24,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.006,0.007,0.006,0.005,0.0031,0.0014,0.0013,0.013980315875635106,0.013666942824180033,0.022166200846974522,0.22229990812169342,1.0,True,289.9604827624632,1.0,True,567.5887602093655,1.0,True,5.279548051469701,1.0,True,485.7970744745902,3.0,1697.156652771162,3.4935505830427402,True,101.25750572110839,94802400.0,725354.8799971093,1074473.1192848205,101.25750572110839,191.68498330820682,1.2766245332094183e+36,2.5532490664188366e+36,1.0,True,2.094677533915179,94802400.0,37592744.63457268,39056612.153198935,2.094677533915179,4.50101624407943,1.4770480109537878e+16,2.9540960219075756e+16,1.0,True,2.8313923065895996,94802400.0,25641340.243131362,39949753.899219014,2.8313923065895996,5.259860420246335,1.2633571989669668e+18,2.5267143979339336e+18,1.0,True,1.4663669319387238e-29,1.0,True,1.2673927902933746e-09,1.0,True,1.4817662032010534e-11,1.0,True,65346502.51056247,44252131.2102449,2.356194490192345,0.7853981633974483,1,0.04981345954678966,0.0014888369429413432,0.34668068068691915,0.7498308180149303,4.958888533290994,5.029656259511766,4.074290960558808
25,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.008,0.006,0.004,0.008,0.0021,0.0022,0.0033,0.016045076917369408,0.014470360076428223,0.021764453978433462,0.15614564802400221,1.0,True,140.2605920227233,1.0,True,476.81159318829657,1.0,True,21.13655626274474,1.0,True,1326.0816255793386,3.0,4634.369099833787,3.494784190082661,True,59.981525302947766,94802400.0,1227811.1182700624,1797017.8800674665,59.981525302947766,114.0560343046218,2.8063659095875704e+33,5.612731819175141e+33,1.0,True,2.973156207807268,94802400.0,26524124.352416843,27318310.0861675,2.973156207807268,6.407585459263103,8.522991300427575e+17,1.704598260085515e+18,1.0,True,11.537315989147546,94802400.0,6192069.906715626,10316750.70975272,11.537315989147546,20.89791924056924,1.893059181938126e+25,3.786118363876252e+25,1.0,True,6.670548532550814e-27,1.0,True,2.1964119568045164e-11,1.0,True,9.888755818417861e-19,1.0,True,16322431.89057701,31083133.423898,2.356194490192345,0.7853981633974483,1,0.0522798909722311,0.001455898072522287,0.3478673262484699,0.7498241122928544,4.946766248205471,5.027693268127178,4.074054583622847
26,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.006,0.008,0.004,0.007,0.0029,0.0017,0.0025,0.015054812016760262,0.01590312962690621,0.02196707413821939,0.14543702047702967,1.0,True,339.5207941284451,1.0,True,698.2280856921099,1.0,True,9.492106028461365,1.0,True,612.2913779104279,3.0,1982.1186725444852,3.237214738036781,True,52.77736167897052,94802400.0,1355505.540807615,2245610.9963122774,52.77736167897052,95.80361991726176,8.881702254993158e+32,1.7763404509986317e+33,1.0,True,3.2821273764613794,94802400.0,23691682.582252905,26456083.106861427,3.2821273764613794,6.879668421097568,3.1687245336510787e+18,6.337449067302157e+18,1.0,True,5.415746383206746,94802400.0,12866257.189154657,23633276.523807067,5.415746383206746,9.452175545943577,3.836635114479315e+21,7.67327022895863e+21,1.0,True,2.1077040709708434e-26,1.0,True,5.907739786528676e-12,1.0,True,4.879275573888023e-15,1.0,True,36345990.970343515,28951420.48125991,2.356194490192345,0.7853981633974483,1,0.05292501578188586,0.0020339718449134295,0.3002191775760852,0.7049543747668583,4.3206063700816895,4.382714509017435,3.8157737722997855
27,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.004,0.008,0.005,0.003,0.0021,0.0038,0.003,0.009896694240347868,0.008495042827196698,0.02184698675903592,0.33647539534160426,1.0,True,113.47145533107587,1.0,True,28.026313831829935,1.0,True,18.135528069218804,1.0,True,60.99619178461624,3.0,195.03354285240923,3.197470811638414,True,7.0996500905935465,94802400.0,10196693.24805137,16081330.268827079,7.0996500905935465,13.128841283607404,5.731736832495482e+22,1.1463473664990964e+23,1.0,True,1.389924993031818,94802400.0,56372826.26875688,60292055.33956249,1.389924993031818,2.95718810359979,132825346576397.02,265650693152794.03,1.0,True,10.436860514876129,94802400.0,6626038.931610667,12519890.13727877,10.436860514876129,18.01949640357734,8.611779137246564e+24,1.7223558274493127e+25,1.0,True,3.2660257347945424e-16,1.0,True,1.409369558033326e-07,1.0,True,2.1737668490631225e-18,1.0,True,19023432.82661639,66980474.57367645,2.356194490192345,0.7853981633974483,1,0.04023872382658049,0.0018005652397594294,0.293228559158761,0.6998972307034687,4.324009868561777,4.365852277687539,3.791153543343456
30,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.007,0.005,0.005,0.006,0.0036,0.0012,0.002,0.010973914703614366,0.017075773598971843,0.02206532744846041,0.2788800565091812,1.0,True,453.034290946256,1.0,True,433.7184761933669,1.0,True,5.337616066404777,1.0,True,480.9728082396448,3.0,1560.2683428192738,3.243984516567244,True,80.62460083626833,94802400.0,884488.4282082224,1484428.8557839403,80.62460083626833,145.63615299331886,1.271793096106682e+35,2.543586192213364e+35,1.0,True,1.7063933183375353,94802400.0,45641851.77640255,50516688.64075302,1.7063933183375353,3.5878248411770697,1547519821949651.2,3095039643899302.5,1.0,True,3.0447379694906047,94802400.0,22870585.17190486,42113106.52966008,3.0447379694906047,5.309024325432279,4.775381534583841e+18,9.550763069167682e+18,1.0,True,1.4719375389996383e-28,1.0,True,1.2096775585346304e-08,1.0,True,3.920105621807952e-12,1.0,True,64635596.81098969,55515258.44900016,2.356194490192345,0.7853981633974483,1,0.05011501575104662,0.0018005652397594294,0.2994662889309695,0.7058607642007395,4.340527933395579,4.386068267798816,3.82024481667771
35,0.092,0.279,0.169,0.2502226302837912,1.527305416544305,3.1415926535897927,0.006,0.007,0.004,0.007,0.0019,0.0037,0.0011,0.010804437425106945,0.02167644666093026,0.022187161553159272,0.20339448289238404,1.0,True,47.20166398278627,1.0,True,503.3790810299737,1.0,True,4.916554204319788,1.0,True,379.60672974858966,3.0,1059.6966980975485,2.791564572101703,True,16.318273829016203,94802400.0,4426819.714528772,7044923.615203534,16.318273829016203,30.073894619471982,9.372642340067115e+26,1.874528468013423e+27,1.0,True,2.863265974286427,94802400.0,27084744.393968083,30696920.21987089,2.863265974286427,5.970752180742314,6.682943488946243e+17,1.3365886977892485e+18,1.0,True,2.6117985586122194,94802400.0,27985850.48036575,42347508.18071875,2.6117985586122194,4.905211503725454,4.567635243881298e+17,9.135270487762596e+17,1.0,True,1.99730228902194e-20,1.0,True,2.8011609002774532e-11,1.0,True,4.098400813654482e-11,1.0,True,70171096.5978725,33357911.209887918,2.0943951023931953,2.0943951023931953,1,0.05466804563919648,0.001781654808617892,0.2303074089670901,0.4420973730303461,5.095961535791407,5.145847736777417,4.382389542511003
38,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.006,0.005,0.007,0.008,0.0028,0.0027,0.0012,0.008570975268450371,0.028951886862505934,0.02217711788144575,0.3279210876262099,1.0,True,476.8463708331531,1.0,True,156.1989660808584,1.0,True,3.2918352484553455,1.0,True,1874.4500736729583,3.0,6295.937679286978,3.3588185504189916,True,76.61043132536375,94802400.0,1024379.0813122604,1085610.0118970263,76.61043132536375,163.50795419290822,2.3063315714737046e+34,4.612663142947409e+34,1.0,True,1.4161967417362182,94802400.0,55672600.85151352,57413111.213938735,1.4161967417362182,3.0507832837478124,153603355840202.7,307206711680405.4,1.0,True,1.5347507432335912,94802400.0,51207162.51804003,53818436.384467885,1.5347507432335912,3.2849134268708435,406087199063100.56,812174398126201.1,1.0,True,8.116786082080234e-28,1.0,True,1.2187233734316894e-07,1.0,True,4.6098473537677704e-08,1.0,True,104804759.03582573,65277611.30831148,2.0943951023931953,0.7853981633974483,1,0.05969998001240205,0.001615192273380012,0.29694535775733955,0.5214937273226294,8.639990959743901,8.697696194243397,5.848461047221473
39,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.008,0.008,0.007,0.004,0.0013,0.004,0.0021,0.018310332256326462,0.014459558661153846,0.0220474235119276,0.45710546261963203,1.0,True,129.98773517296564,1.0,True,545.2805077348249,1.0,True,2.187678953274997,1.0,True,239.50570748409098,3.0,786.9922099108722,3.285901693858998,True,18.998217385897746,94802400.0,4156207.5706093265,4248359.460947325,18.998217385897746,41.04911040683328,1.9516591775908327e+27,3.9033183551816653e+27,1.0,True,4.289540854173612,94802400.0,18388959.131237667,18911252.708088256,4.289540854173612,9.249277228936906,6.031216602757711e+19,1.2062433205515421e+20,1.0,True,1.0148825703433513,94802400.0,77616788.18314292,80474517.70479189,1.0148825703433513,2.1822831942735545,3223510678759.726,6447021357519.452,1.0,True,9.591838685230043e-21,1.0,True,3.1038513840541686e-13,1.0,True,5.807333018422847e-06,1.0,True,157701384.60377306,21532188.976735998,2.0943951023931953,0.7853981633974483,1,0.05481731442940791,0.0015781465790364337,0.291325724355693,0.5144200766934485,8.503651753099515,8.627128799811668,5.774150333272088
40,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.009,0.007,0.004,0.007,0.0014,0.0038,0.0026,0.018068988888540683,0.014325470416894057,0.02194480338789809,0.32020774840339705,1.0,True,12.502070690665969,1.0,True,429.521862900325,1.0,True,3.122972523263872,1.0,True,733.7758913440896,3.0,2410.1636428520465,3.28460456562186,True,5.5007524659604226,94802400.0,14386384.462788612,14510306.165452061,5.5007524659604226,11.939083420951748,1.0471372107526418e+21,2.0942744215052836e+21,1.0,True,4.647853495038056,94802400.0,16971127.624071814,17454306.030961752,4.647853495038056,10.021660248557401,1.5331907272913738e+20,3.0663814545827476e+20,1.0,True,1.4466471906009901,94802400.0,54456841.296188205,56428326.822773196,1.4466471906009901,3.1113268424670846,198564425860062.25,397128851720124.5,1.0,True,1.787731331459875e-14,1.0,True,1.220983121458859e-13,1.0,True,9.42767060057015e-08,1.0,True,110471673.19917198,19870122.45562626,2.0943951023931953,0.7853981633974483,1,0.054339262693332835,0.0016226014122487276,0.29110293688237965,0.5142523472721362,8.502896425331132,8.62476224399896,5.772332011689035
