design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,F_Ax,F_Ay,F_Bx,F_By,F_Cx,F_Cy,N,F_f,tau_A
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,75.0,-1.0500769962433583,1.1635440975719897,1.0499898453164818,-1.1553961397267472,1.0717748876810953,-0.8909813087281782,4.231576217688804,1.988840822313738,0.10383344053400567
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,90.0,-0.4747504862220039,0.6898533053592517,0.4747504862220039,-0.6817168211511995,0.5201395983381204,-0.4176743288289275,4.704883197588055,2.211295102866386,0.03750528841153828
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,105.00000000000001,-0.8961552425889021,1.0181889279635412,0.8962423935157785,-1.0100409701182986,0.9293402080076333,-0.7456261391197296,4.376931387297253,2.057157752029709,0.04765195636781092
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,119.99999999999999,4.3750916272925595,-2.7986473571146515,-4.37492326463045,2.8068289539620515,-4.355923998556176,3.072335426724041,8.194892953141023,-3.8515996879762806,-0.18861238246218545
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,135.0,3.4268281039504522,-1.3255502921398454,-3.426590003190299,1.3337854009119645,-3.4120994039611285,1.6010284249423439,6.723585951359326,-3.160085397138883,-0.11714373257637266
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,150.0,2.993182348600529,-0.6009617365310113,-2.992890735915657,0.6092665834011735,-2.9791721584921005,0.8787727251057582,6.001330251522741,-2.820625218215688,-0.07682544887628968
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,165.0,2.7496522696835752,-0.15907555136457033,-2.7493270179965457,0.167461609969966,-2.7355164493471276,0.43960320802505315,5.562160734442036,-2.6142155451877565,-0.04375928069054055
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,180.0,2.588739913649922,0.1472849967333783,-2.588403188325702,-0.1388117872011062,-2.5747084509650713,0.13615800388579125,5.258715530302774,-2.4715962992423037,-0.011300822965412145
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,195.0,2.4680952886825387,0.3733228919989781,-2.467770036995509,-0.36476253153982957,-2.4548499800008052,-0.08696454742112181,5.035592978995861,-2.3667287001280544,0.022300127020848343
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.001,0.005,0.007,0.0033,0.0037,0.0012,0.0008637318585394603,0.028029540375830525,0.02217711788144575,210.00000000000003,2.367520009923057,0.5418300773353824,-2.367228397238185,-0.5331885051410004,-2.3559626841932695,-0.2527550646717902,4.869802461745192,-2.28880715702024,0.056737041663821576
