r,l,e,ROM,QRR,theta_min,theta_max,width_r,width_l,thickness_r,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,rho,mass_crank,mass_rod,mass_slider,I_mass_crank_cg_z,I_mass_rod_cg_z,I_mass_slider_cg_z,I_area_crank_yy,I_area_crank_zz,I_area_rod_yy,I_area_rod_zz,I_area_slider_yy,I_area_slider_zz
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.018,0.012,0.006,0.017,0.0029,0.0022,0.0035,7800.0,0.10190669459887726,0.2621207025183875,0.06089910410974749,0.00012710989332905776,0.0005962921166318886,4.157701753168051e-06,3.2399999999999997e-10,2.9159999999999994e-09,4.9130000000000015e-09,2.4480000000000002e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.011,0.006,0.009,0.012,0.0047,0.0039,0.003,7800.0,0.0931557263250703,0.09169856377944423,0.061297300978589986,0.00011430852824899232,0.0002042953963905164,4.158759463600915e-06,6.682499999999997e-10,9.982499999999997e-10,8.64e-10,2.16e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.014,0.011,0.019,0.015,0.0039,0.0027,0.0035,7800.0,0.2366055298241512,0.2647421384268039,0.06089910410974749,0.00026074363268301033,0.0009366820252939804,4.157701753168051e-06,8.002166666666667e-09,4.344666666666667e-09,3.093749999999999e-09,1.6637499999999998e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.008,0.008,0.014,0.007,0.0047,0.0021,0.0031,7800.0,0.09854065479476047,0.08964166398910454,0.061222562489361095,0.00010539326548626383,0.0003152275948762576,4.158585603190346e-06,1.8293333333333336e-09,5.973333333333334e-10,2.286666666666667e-10,2.986666666666667e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.011,0.012,0.018,0.009,0.0031,0.0048,0.004,7800.0,0.17547286769509626,0.17340369151020762,0.06043964618415997,0.00019120398602458702,0.0006150979143873871,4.156079292368321e-06,5.345999999999998e-09,1.9964999999999995e-09,7.289999999999999e-10,1.2959999999999999e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.008,0.014,0.014,0.01,0.0021,0.0023,0.0026,7800.0,0.09893319484940288,0.22470520426622276,0.061571750512807596,0.0001063481404009255,0.0007967327783158821,4.159300129183323e-06,1.8293333333333336e-09,5.973333333333334e-10,1.166666666666667e-09,2.286666666666667e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.006,0.006,0.019,0.008,0.0035,0.0034,0.0021,7800.0,0.0998867510539129,0.07662452873902587,0.0618596774795091,0.00010563797813196825,0.0002678460471971179,4.1597021472105805e-06,3.4294999999999998e-09,3.42e-10,2.56e-10,1.44e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.02,0.013,0.006,0.007,0.0028,0.0048,0.004,7800.0,0.08853375514062861,0.19948317784127262,0.06043964618415997,6.918889728850675e-05,0.001316604868643508,4.156079292368321e-06,3.6e-10,4e-09,3.7158333333333337e-10,1.2815833333333331e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.011,0.008,0.006,0.019,0.0044,0.0036,0.0045,7800.0,0.04823282558760094,0.33171856858044724,0.05991892720182747,3.594153408031625e-05,0.0021671182280752323,4.153719784479627e-06,1.9800000000000001e-10,6.654999999999999e-10,4.572666666666667e-09,8.106666666666668e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.015,0.015,0.01,0.018,0.0047,0.0038,0.0033,7800.0,0.11037463359710512,0.5922571633787683,0.06106573418409388,8.431784989194793e-05,0.003915606544494112,4.158183730658098e-06,1.2500000000000002e-09,2.8124999999999995e-09,7.289999999999998e-09,5.062499999999999e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.007,0.019,0.014,0.018,0.004,0.0037,0.0021,7800.0,0.07072136291533729,0.7500005547712479,0.0618596774795091,5.1001560783170804e-05,0.004963839815422967,4.1597021472105805e-06,1.600666666666667e-09,4.0016666666666673e-10,9.233999999999997e-09,1.02885e-08,1.3333333333333335e-08,1.3333333333333335e-08
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.013,0.013,0.012,0.014,0.004,0.0049,0.0042,7800.0,0.114419094143559,0.398955447781199,0.060238709918036364,8.641322836710795e-05,0.00263312638907571,4.155234355369271e-06,1.8719999999999997e-09,2.197e-09,2.972666666666667e-09,2.5631666666666662e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.007,0.007,0.018,0.006,0.0046,0.0033,0.0048,7800.0,0.10059350963638088,0.060685627406785285,0.059577090505190354,8.866846598783114e-05,0.00017406572584659672,4.151870020654949e-06,3.4019999999999992e-09,5.145e-10,1.26e-10,1.715e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.008,0.012,0.019,0.013,0.0039,0.0035,0.0049,7800.0,0.12212168562538632,0.22733083630715414,0.05945824405510506,0.00010902899029025469,0.000664861835452975,4.151171054970385e-06,4.572666666666667e-09,8.106666666666668e-10,2.197e-09,1.8719999999999997e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.007,0.018,0.007,0.012,0.0049,0.0043,0.0047,7800.0,0.03892000356183622,0.3162864315807455,0.05969348651300586,3.4006330554803655e-05,0.0009385137144080731,4.152526639634038e-06,2.0008333333333337e-10,2.0008333333333337e-10,2.5919999999999997e-09,5.831999999999999e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.017,0.01,0.009,0.013,0.0031,0.0048,0.0026,7800.0,0.12464057384754813,0.18896854666169866,0.061571750512807596,0.00011666939423754797,0.0005491837888421733,4.159300129183323e-06,1.0327499999999998e-09,3.6847500000000005e-09,1.8308333333333335e-09,1.0833333333333335e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.017,0.008,0.008,0.009,0.0029,0.0021,0.0048,7800.0,0.11022530660202327,0.10432006559311476,0.059577090505190354,0.00010191804008298035,0.00030094776901340155,4.151870020654949e-06,7.253333333333334e-10,3.2753333333333342e-09,4.859999999999999e-10,3.8399999999999997e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.007,0.009,0.012,0.006,0.0024,0.0047,0.0035,7800.0,0.06514341548358207,0.07922909718682601,0.06089910410974749,5.420504371769571e-05,0.0002344825126715701,4.157701753168051e-06,1.008e-09,3.43e-10,1.6199999999999998e-10,3.6449999999999993e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.014,0.007,0.01,0.014,0.0037,0.0022,0.0024,7800.0,0.11019423261851514,0.1437918059179042,0.0616942726262976,9.548327284913542e-05,0.0004247502607234936,4.159491876290935e-06,1.166666666666667e-09,2.286666666666667e-09,1.600666666666667e-09,4.0016666666666673e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.019,0.019,0.015,0.016,0.0026,0.0023,0.0026,7800.0,0.22441605639933407,0.4480427268259564,0.061571750512807596,0.00019749728456687588,0.0013467920695772212,4.159300129183323e-06,5.343749999999999e-09,8.57375e-09,6.485333333333334e-09,9.145333333333334e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.013,0.016,0.009,0.006,0.0032,0.0043,0.0045,7800.0,0.09218562285574451,0.1418963679970192,0.05991892720182747,7.994675677202899e-05,0.00042813867471495947,4.153719784479627e-06,7.897499999999998e-10,1.6477499999999998e-09,2.88e-10,2.048e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.012,0.01,0.019,0.014,0.0031,0.004,0.0045,7800.0,0.179394018239845,0.2057360013701912,0.05991892720182747,0.00015472475124224776,0.0006111314123779674,4.153719784479627e-06,6.8589999999999996e-09,2.736e-09,2.286666666666667e-09,1.166666666666667e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,2.302277184643792,6.077925361138653,0.018,0.009,0.018,0.017,0.0045,0.0038,0.0041,7800.0,0.29476341709472864,0.24013943636042184,0.06034040327223308,0.0003429815478903423,0.0008127716939100044,4.15567227237578e-06,8.747999999999997e-09,8.747999999999997e-09,3.6847500000000005e-09,1.0327499999999998e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,2.302277184643792,6.077925361138653,0.019,0.013,0.015,0.016,0.0025,0.0047,0.0035,7800.0,0.25882059247777006,0.3277659124982027,0.06089910410974749,0.00030077473496365235,0.001120545259806637,4.157701753168051e-06,5.343749999999999e-09,8.57375e-09,4.437333333333334e-09,2.929333333333333e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,2.302277184643792,6.077925361138653,0.008,0.013,0.007,0.011,0.0021,0.0022,0.0025,7800.0,0.05033765465757613,0.22495386636876769,0.0616342367906875,5.601894864448176e-05,0.0007658273795714801,4.159401747492725e-06,2.286666666666667e-10,2.986666666666667e-10,1.4419166666666664e-09,2.0139166666666663e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,2.302277184643792,6.077925361138653,0.007,0.02,0.02,0.009,0.0026,0.0024,0.0028,7800.0,0.12568402313910518,0.28370056466544125,0.06143942663023839,0.00013942127760053173,0.0009749655688934984,4.159058638097635e-06,4.666666666666668e-09,5.716666666666668e-10,1.2149999999999998e-09,6.000000000000001e-09,1.3333333333333335e-08,1.3333333333333335e-08
