design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,sigma_max_rod,sigma_min_rod,sigma_m_rod,sigma_a_rod,tau_m_rod,tau_a_rod,R_rod,sigma_a_eq_rod,sigma_m_eq_rod,S_n_prime_rod,n_f_rod,n_y_rod,n_rod,b_B_rod,N_f_rod,t_f_rod,D_rod,failed_miner_rod,sigma_max_crank,sigma_min_crank,sigma_m_crank,sigma_a_crank,tau_m_crank,tau_a_crank,R_crank,sigma_a_eq_crank,sigma_m_eq_crank,S_n_prime_crank,n_f_crank,n_y_crank,n_crank,b_B_crank,N_f_crank,t_f_crank,D_crank,failed_miner_crank,sigma_max_pin,sigma_min_pin,sigma_m_pin,sigma_a_pin,tau_m_pin,tau_a_pin,R_pin,sigma_a_eq_pin,sigma_m_eq_pin,S_n_prime_pin,n_f_pin,n_y_pin,n_pin,b_B_pin,N_f_pin,t_f_pin,D_pin,failed_miner_pin
11,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.007,0.005,0.005,0.003,0.0035,0.001,0.002,0.009901574293256277,0.008369798896586327,0.02206532744846041,3755920.502915112,315051.8028968242,2035486.152905968,1720434.3500091438,2845220.7975574946,2528762.2906518625,0.08388138211453107,4705721.041515311,5331889.7249692865,94802400.0,16.480910289542376,34.370729053566095,16.480910289542376,-0.086,4.6059919360036223e+26,9.211983872007245e+26,4.064271119033344e-20,False,986145.1243418653,23454.65984516625,504799.8920935158,481345.2322483495,25193760.420330763,23597077.835757926,0.023784186795852636,40874172.04535233,43639792.79604948,94802400.0,1.9175353380066775,4.082165600057032,1.9175353380066775,-0.086,5581862062596854.0,1.1163724125193708e+16,3.3537195634839602e-09,False,190003760.28375188,15290144.660349132,102646952.4720505,87356807.81170137,5132347.623602526,4367840.390585069,0.08047285294519861,87683783.90605305,103031159.50132702,94802400.0,0.8785601114304213,1.8089825256275622,0.8785601114304213,-0.086,780680115679.7703,1561360231359.5405,2.3979091594640816e-05,False
12,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.009,0.003,0.006,0.005,0.0035,0.0023,0.0018,0.007683843129224833,0.01675784769596046,0.02209851523325293,1130174.9841870253,101401.55227254055,615788.2682297829,514386.7159572424,984204.4747421034,857386.6243113712,0.0897219932234496,1571600.8285176686,1812503.940849943,94802400.0,49.18780052409584,101.94719830274941,49.18780052409584,-0.086,1.5904074331752925e+32,3.180814866350585e+32,1.1770568729438721e-25,False,2137591.8192074043,39664.48428183698,1088628.1517446206,1048963.6674627836,45059014.80533934,41299719.82978025,0.018555686789886824,71540903.67636327,78052095.1476393,94802400.0,1.0914286283135861,2.30625766387567,1.0914286283135861,-0.086,8317092014474.063,16634184028948.127,2.250786689316647e-06,False,16585989.257999197,1132721.1892373327,8859355.223618265,7726634.034380932,979020.7247630723,824728.5993223847,0.0682938576419876,7857569.935347349,9020178.474775268,94802400.0,9.846495280745183,20.441115225599784,9.846495280745183,-0.086,1.1863948622893372e+24,2.3727897245786744e+24,1.5778895033207398e-17,False
13,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.005,0.001,0.008,0.005,0.0011,0.0016,0.0019,0.0014144335560086966,0.02236724189731255,0.02208235802223552,636956.5608059369,59622.819639476016,348289.6902227065,288666.87058323045,416479.8439371849,357968.9662049293,0.0936057861842818,683925.3646925174,801044.3742597875,94802400.0,112.70530373889433,232.32796665837034,112.70530373889433,-0.086,2.52965426547924e+36,5.05930853095848e+36,7.400220755642873e-30,False,26027017.28854882,392406.4719375499,13209711.880243184,12817305.408305636,748663583.0330772,687392967.3252501,0.015076889817497377,1190668534.0188372,1296790645.4658496,94802400.0,0.06559810217423365,0.1386957433695341,0.06559810217423365,-0.086,0.05242610726331761,0.10485221452663522,357074003.3391403,True,28723210.30408838,2604137.7729182434,15663674.038503312,13059536.265585069,4307510.360588411,3591372.4730358943,0.09066318650835412,14465315.627125856,17349772.93523498,94802400.0,5.3049072455578745,10.84391135117429,5.3049072455578745,-0.086,9.825909411849176e+20,1.9651818823698353e+21,1.905167167267524e-14,False
14,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.008,0.004,0.004,0.003,0.0022,0.0015,0.0026,0.009087614580479214,0.00668137051164856,0.02194480338789809,4254520.448644901,339471.1617298382,2296995.805187369,1957524.6434575312,5296898.182116905,4726768.239132054,0.0797906992873809,8417773.855904313,9457673.116797201,94802400.0,9.22731066070921,19.300216689790567,9.22731066070921,-0.086,5.3266013855462004e+23,1.0653202771092401e+24,3.5144360625138864e-17,False,1178673.6748881254,29278.369996576235,603976.0224423509,574697.6524457745,22568783.429054447,21321614.198823325,0.024840098341345592,36934590.47454188,39094945.24153184,94802400.0,2.125229409958533,4.537710203681569,2.125229409958533,-0.086,1.813799759187023e+16,3.627599518374046e+16,1.0320874674936903e-09,False,44988461.12886772,3574719.8947572173,24281590.51181247,20706870.617055252,2276399.110482419,1941269.1203489297,0.07945859460534933,20978085.42608994,24599626.34907199,94802400.0,3.6735921898731174,7.569489264882567,3.6735921898731174,-0.086,1.3037294044378868e+19,2.6074588088757735e+19,1.4358807844846665e-12,False
15,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.009,0.004,0.008,0.005,0.0016,0.0017,0.0033,0.01022561372970546,0.022367563264986533,0.021764453978433462,954858.0029360818,89388.83575064926,522123.41934336553,432734.5835927163,744240.7539965751,639659.7027201863,0.09361479453048366,1189433.8256874122,1390789.6191570384,94802400.0,64.82589520361437,133.7093501298677,64.82589520361437,-0.086,4.059831221816182e+33,8.119662443632364e+33,4.611029123428814e-27,False,1354756.0206395283,20413.70885035222,687584.8647449403,667171.155894588,19221401.631642073,17173670.18748174,0.01506818094132971,29753150.429432765,33299543.76565697,94802400.0,2.6124188681884863,5.471613931873304,2.6124188681884863,-0.086,2.2410608141997626e+17,4.482121628399525e+17,8.353186973502338e-11,False,37035290.326823294,3763624.8135988214,20399457.570211057,16635832.756612236,2039945.757021106,1663583.2756612238,0.10162266261142192,16883526.274186675,20703188.286677163,94802400.0,4.525798100632212,9.178775107926619,4.525798100632212,-0.086,1.6282848649124374e+20,3.256569729824875e+20,1.149675981358869e-13,False
16,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.009,0.002,0.006,0.005,0.0018,0.003,0.003,0.004970566199228884,0.01781789337951796,0.02184698675903592,1050543.8943697626,120233.09598872179,585388.4951792422,465155.3991905204,1035178.6971710277,866045.1587675788,0.11444842679405744,1570500.6196975454,1886124.199388348,94802400.0,48.84944442896088,99.808344282859,48.84944442896088,-0.086,1.6034110545775966e+32,3.206822109155193e+32,1.1675109727200682e-25,False,3815159.174590507,108530.61794449402,1961844.8962675005,1853314.2783230066,93965900.16848794,86409717.1911557,0.02844720573320324,149677494.797918,162765536.950608,94802400.0,0.5219682755433708,1.104201294134407,0.5219682755433708,-0.086,1556110014.4716468,3112220028.9432936,0.01202999776744968,False,11957487.554519404,1399823.672057104,6678655.613288254,5278831.94123115,1502697.5129898572,1187737.1867770087,0.11706670533209398,5665529.590278488,7167896.500895113,94802400.0,13.404498200403467,26.882922576480137,13.404498200403467,-0.086,5.32043569503892e+25,1.064087139007784e+26,3.518508835179721e-19,False
17,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.004,0.009,0.005,0.004,0.0023,0.0018,0.0027,0.009845383852728817,0.011875934901614404,0.021921659274819098,3097743.985286382,348315.1429805527,1723029.5641334674,1374714.4211529146,3745484.5046090926,3177243.3131927713,0.1124415525088499,5672253.957062424,6712286.749065361,94802400.0,13.56309914619992,27.857310835055547,13.56309914619992,-0.086,5.247555356020299e+25,1.0495110712040598e+26,3.56737542149476e-19,False,1048045.2996841301,30539.31755988852,539292.3086220094,508752.9910621208,18975266.464599393,17539287.29794827,0.02913931064725232,30383196.44747444,32870549.86460966,94802400.0,2.5737063968988116,5.454222399695094,2.5737063968988116,-0.086,1.7564420764470733e+17,3.5128841528941466e+17,1.0657909105586203e-10,False,53894603.796549186,5750119.242102851,29822361.51932602,24072242.277223166,1491118.075966301,1203612.1138611585,0.10669192900664806,24162344.559566863,29933986.46920917,94802400.0,3.1561101011500226,6.377511994602378,3.1561101011500226,-0.086,2.5208402602700303e+18,5.041680520540061e+18,7.42609529649242e-12,False
18,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.009,0.003,0.005,0.007,0.001,0.0017,0.0011,0.0074317306415441625,0.020798456222135168,0.022187161553159272,780466.4500682311,93162.36276215802,436814.40641519456,343652.0436530365,910035.0131492091,756093.5133276796,0.11936754328647112,1353930.9176599411,1635633.8224444683,94802400.0,56.59945202981087,115.40141458450269,56.59945202981087,-0.086,9.002556971528258e+32,1.8005113943056516e+33,2.0794092233133768e-26,False,2426273.36530364,64147.81090577739,1245210.5881047086,1181062.7771989312,30136250.84505413,27206984.85802338,0.02643882252639307,47138678.22158174,52212368.21287467,94802400.0,1.6519887623160066,3.472535140609741,1.6519887623160066,-0.086,1063361796041818.9,2126723592083637.8,1.760454444543896e-08,False,104601343.29110016,12792420.402948448,58696881.84702431,45904461.44407585,4891406.820585359,3825371.787006321,0.12229690365780295,46380168.05054849,59305155.9361995,94802400.0,1.6339471596846429,3.264407838152249,1.6339471596846429,-0.086,1284105245501867.0,2568210491003734.0,1.4578244318816453e-08,False
19,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.008,0.002,0.009,0.004,0.0028,0.0031,0.0033,0.004414055099390852,0.021458256634671918,0.021764453978433462,796240.6910262286,95451.66210324963,445846.1765647391,350394.5144614895,638849.7834779284,529912.394742025,0.11987790021158992,982444.7842338957,1192965.1925797267,94802400.0,77.92418401794113,158.59079606931388,77.92418401794113,-0.086,3.7497119395356074e+34,7.499423879071215e+34,4.992383495548841e-28,False,3682765.136978136,95676.07084149467,1889220.6039098152,1793544.5330683207,126940651.77336906,115462884.99799149,0.02597941147015444,199995625.5475862,219875774.86488473,94802400.0,0.3898887138724236,0.8216801612614739,0.3898887138724236,-0.086,53518695.52780203,107037391.05560406,0.3497843102374438,False,3183651.4933482804,377858.02805939544,1780754.760703838,1402896.7326444425,623264.1662463432,491013.8564255547,0.11868699474451523,1640549.6225564585,2082417.3886494588,94802400.0,46.26125589952511,92.66802498157243,46.26125589952511,-0.086,9.653424293156362e+31,1.9306848586312724e+32,1.9392082468882301e-25,False
20,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.005,0.003,0.005,0.004,0.0018,0.0028,0.0013,0.004109933554835299,0.011873548529191386,0.022166200846974522,1770964.4245203228,199119.73267568983,985042.0785980063,785922.3459223165,2085162.0829530708,1768850.1780193537,0.11243576094399677,3162936.4190032864,3743529.1682000086,94802400.0,24.3225905807421,49.95319178006711,24.3225905807421,-0.086,4.672533614170046e+28,9.345067228340093e+28,4.006391723588514e-22,False,3048001.673550158,99022.7259170116,1573512.1997335847,1474489.4738165732,104437734.69591251,98404557.63400266,0.032487753132259586,170448071.29633248,180898306.31015906,94802400.0,0.4603075481762172,0.9819369772652117,0.4603075481762172,-0.086,343409698.92001617,686819397.8400323,0.054512147032749037,False,32129230.075569976,3003074.357817908,17566152.21669394,14563077.858876035,1493549.6714978348,1192560.7200770485,0.09346860633617698,14708835.43782095,17755612.508830987,94802400.0,5.210676331589442,10.627009600376708,5.210676331589442,-0.086,8.092189996122145e+20,1.618437999224429e+21,2.313341630506798e-14,False
