design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,x_C,v_Cx,a_Cx,pos_Bx,pos_By,vel_Bx,vel_By,acc_Bx,acc_By,phi_rad,omega_cb,alpha_cb
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.02,0.018,0.015,0.013,0.0044,0.0034,0.0021,0.3304616546258002,0.273648909200917,0.0618596774795091,255.00000000000003,0.13742747832512994,0.3148110838428152,0.6350151569404554,-0.029764190186789875,-0.11108147002324287,0.34897273017497454,-0.09350696123086846,0.2937607824624019,1.096330165420873,0.3502730878847628,0.5592800291014618,-6.443049755133398
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.02,0.018,0.015,0.013,0.0044,0.0034,0.0021,0.3304616546258002,0.273648909200917,0.0618596774795091,270.0,0.1657075737556977,0.3612831551628261,0.44521376558750236,-2.1125157285291842e-17,-0.115,0.36128315516282616,-6.636663893340174e-17,2.084969453166212e-16,1.1350045061252758,0.37381383846391814,4.005045601068658e-16,-6.849442547500033
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.02,0.018,0.015,0.013,0.0044,0.0034,0.0021,0.3304616546258002,0.273648909200917,0.0618596774795091,285.0,0.19695585869870966,0.38313437650713383,0.04749359201565216,0.029764190186789836,-0.11108147002324287,0.3489727301749746,0.09350696123086834,-0.29376078246240156,1.096330165420873,0.3502730878847628,-0.559280029101461,-6.443049755133398
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.02,0.018,0.015,0.013,0.0044,0.0034,0.0021,0.3304616546258002,0.273648909200917,0.0618596774795091,300.0,0.22845187083948817,0.3652842834316306,-0.4892962981428676,0.057500000000000016,-0.09959292143521044,0.3128803903304025,0.1806415775814131,-0.567502253062638,0.9829427357142992,0.28234849490001873,-1.0566809049491066,-5.425904600951453
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.02,0.018,0.015,0.013,0.0044,0.0034,0.0021,0.3304616546258002,0.273648909200917,0.0618596774795091,315.0,0.2565406458115571,0.301124593782535,-1.0434801610309996,0.08131727983645295,-0.08131727983645298,0.25546576894410605,0.25546576894410594,-0.8025693829584707,0.802569382958471,0.17686035314309323,-1.4579435084040255,-4.2003610168549015
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.02,0.018,0.015,0.013,0.0044,0.0034,0.0021,0.3304616546258002,0.273648909200917,0.0618596774795091,330.0,0.2774348456263302,0.19383645802454336,-1.5104447690617768,0.09959292143521042,-0.05750000000000005,0.18064157758141325,0.31288039033040244,-0.982942735714299,0.5675022530626385,0.042147308734928196,-1.7593173924173362,-3.0605172142832133
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.02,0.018,0.015,0.013,0.0044,0.0034,0.0021,0.3304616546258002,0.273648909200917,0.0618596774795091,345.0,0.28792748213887864,0.053575352294162826,-1.8275934015857824,0.11108147002324287,-0.02976419018678988,0.09350696123086848,0.34897273017497454,-1.096330165420873,0.29376078246240195,-0.11393063844182295,-1.9733141053064227,-2.1066824474457215
11,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.007,0.006,0.018,0.01,0.0022,0.0024,0.0049,0.0334514596791018,0.2841008583407013,0.05945824405510506,0.0,0.27858378304338494,-0.164382571633946,-1.7159354840044836,0.101,0.0,-0.0,0.3173008580125691,-0.9968300445100249,-0.0,-0.47799519851895234,-1.7867670829776743,-1.6539425108372545
11,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.007,0.006,0.018,0.01,0.0022,0.0024,0.0049,0.0334514596791018,0.2841008583407013,0.05945824405510506,14.999999999999998,0.2589362313224408,-0.30649674953894684,-1.6680341762330984,0.09755850845519591,0.026140723555354597,-0.08212350508102365,0.3064890934580211,-0.9628638844131145,-0.2579986002495879,-0.6319305762429009,-1.8992032358155784,-1.0418525473534592
11,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.007,0.006,0.018,0.01,0.0022,0.0024,0.0049,0.0334514596791018,0.2841008583407013,0.05945824405510506,29.999999999999996,0.22780298778909025,-0.4376814783000692,-1.450050376022615,0.08746856578222832,0.050499999999999996,-0.1586504290062845,0.274790603681484,-0.8632801418012543,-0.4984150222550124,-0.7930547126259008,-1.9581126266230509,-0.3417493577212394
