r,l,e,ROM,QRR,theta_min,theta_max,width_r,width_l,thickness_r,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,rho,mass_crank,mass_rod,mass_slider,I_mass_crank_cg_z,I_mass_rod_cg_z,I_mass_slider_cg_z,I_area_crank_yy,I_area_crank_zz,I_area_rod_yy,I_area_rod_zz,I_area_slider_yy,I_area_slider_zz
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.006,0.006,0.019,0.008,0.0035,0.0034,0.0021,7800.0,0.0998867510539129,0.07662452873902587,62.39459677479511,0.00010563775498699925,0.00026782289746865405,0.4159999970214722,3.4294999999999998e-09,3.42e-10,2.56e-10,1.44e-10,0.00013333333333333337,0.00013333333333333337
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.02,0.013,0.006,0.007,0.0028,0.0048,0.004,7800.0,0.08853375514062861,0.19948317784127262,62.38039646184162,6.916348081119593e-05,0.0013165880898967839,0.4159999607929238,3.6e-10,4e-09,3.7158333333333337e-10,1.2815833333333331e-09,0.00013333333333333337,0.00013333333333333337
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.011,0.008,0.006,0.019,0.0044,0.0036,0.0045,7800.0,0.04823282558760094,0.33171856858044724,62.37518927201829,3.593725313806737e-05,0.00216706515749079,0.4159999371978449,1.9800000000000001e-10,6.654999999999999e-10,4.572666666666667e-09,8.106666666666668e-10,0.00013333333333333337,0.00013333333333333337
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.015,0.015,0.01,0.018,0.0047,0.0038,0.0033,7800.0,0.11037463359710512,0.5922571633787683,62.386657341840966,8.430826218929372e-05,0.003915592936033801,0.4159999818373067,1.2500000000000002e-09,2.8124999999999995e-09,7.289999999999998e-09,5.062499999999999e-09,0.00013333333333333337,0.00013333333333333337
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.007,0.019,0.014,0.018,0.004,0.0037,0.0021,7800.0,0.07072136291533729,0.7500005547712479,62.39459677479511,5.100020809056506e-05,0.0049637259339609914,0.4159999970214722,1.600666666666667e-09,4.0016666666666673e-10,9.233999999999997e-09,1.02885e-08,0.00013333333333333337,0.00013333333333333337
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035,0.013,0.013,0.012,0.014,0.004,0.0049,0.0042,7800.0,0.114419094143559,0.398955447781199,62.37838709918038,8.640118825424908e-05,0.002633099824100229,0.4159999523435538,1.8719999999999997e-09,2.197e-09,2.972666666666667e-09,2.5631666666666662e-09,0.00013333333333333337,0.00013333333333333337
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.007,0.007,0.018,0.006,0.0046,0.0033,0.0048,7800.0,0.10059350963638088,0.060685627406785285,62.371770905051925,8.863129783914443e-05,0.00017403491883086295,0.41599991870020664,3.4019999999999992e-09,5.145e-10,1.26e-10,1.715e-10,0.00013333333333333337,0.00013333333333333337
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.008,0.012,0.019,0.013,0.0039,0.0035,0.0049,7800.0,0.12212168562538632,0.22733083630715414,62.37058244055107,0.00010902550802433047,0.0006648015470015776,0.4159999117105498,4.572666666666667e-09,8.106666666666668e-10,2.197e-09,1.8719999999999997e-09,0.00013333333333333337,0.00013333333333333337
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.007,0.018,0.007,0.012,0.0049,0.0043,0.0047,7800.0,0.03892000356183622,0.3162864315807455,62.37293486513007,3.4002749856757597e-05,0.0009385088482561024,0.41599992526639645,2.0008333333333337e-10,2.0008333333333337e-10,2.5919999999999997e-09,5.831999999999999e-09,0.00013333333333333337,0.00013333333333333337
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.017,0.01,0.009,0.013,0.0031,0.0048,0.0026,7800.0,0.12464057384754813,0.18896854666169866,62.3917175051281,0.00011663762034602179,0.0005490525849250542,0.4159999930012919,1.0327499999999998e-09,3.6847500000000005e-09,1.8308333333333335e-09,1.0833333333333335e-09,0.00013333333333333337,0.00013333333333333337
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743,0.017,0.008,0.008,0.009,0.0029,0.0021,0.0048,7800.0,0.11022530660202327,0.10432006559311476,62.371770905051925,0.00010191406609293196,0.00030082019145927756,0.41599991870020664,7.253333333333334e-10,3.2753333333333342e-09,4.859999999999999e-10,3.8399999999999997e-10,0.00013333333333333337,0.00013333333333333337
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.007,0.009,0.012,0.006,0.0024,0.0047,0.0035,7800.0,0.06514341548358207,0.07922909718682601,62.38499104109749,5.4137383771276964e-05,0.00023446233572747014,0.4159999770175318,1.008e-09,3.43e-10,1.6199999999999998e-10,3.6449999999999993e-10,0.00013333333333333337,0.00013333333333333337
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.014,0.007,0.01,0.014,0.0037,0.0022,0.0024,7800.0,0.11019423261851514,0.1437918059179042,62.39294272626299,9.546330477897326e-05,0.0004247495252416246,0.415999994918763,1.166666666666667e-09,2.286666666666667e-09,1.600666666666667e-09,4.0016666666666673e-10,0.00013333333333333337,0.00013333333333333337
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.019,0.019,0.015,0.016,0.0026,0.0023,0.0026,7800.0,0.22441605639933407,0.4480427268259564,62.3917175051281,0.0001974962878217237,0.0013467900554147564,0.4159999930012919,5.343749999999999e-09,8.57375e-09,6.485333333333334e-09,9.145333333333334e-09,0.00013333333333333337,0.00013333333333333337
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.013,0.016,0.009,0.006,0.0032,0.0043,0.0045,7800.0,0.09218562285574451,0.1418963679970192,62.37518927201829,7.99344929094779e-05,0.0004281380734076696,0.4159999371978449,7.897499999999998e-10,1.6477499999999998e-09,2.88e-10,2.048e-09,0.00013333333333333337,0.00013333333333333337
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186,0.012,0.01,0.019,0.014,0.0031,0.004,0.0045,7800.0,0.179394018239845,0.2057360013701912,62.37518927201829,0.00015470833466273596,0.0006111229406917226,0.4159999371978449,6.8589999999999996e-09,2.736e-09,2.286666666666667e-09,1.166666666666667e-09,0.00013333333333333337,0.00013333333333333337
0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,2.302277184643792,6.077925361138653,0.018,0.009,0.018,0.017,0.0045,0.0038,0.0041,7800.0,0.29476341709472864,0.24013943636042184,62.37940403272234,0.0003429688837097966,0.0008127680099045667,0.41599995672272383,8.747999999999997e-09,8.747999999999997e-09,3.6847500000000005e-09,1.0327499999999998e-09,0.00013333333333333337,0.00013333333333333337
0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,2.302277184643792,6.077925361138653,0.019,0.013,0.015,0.016,0.0025,0.0047,0.0035,7800.0,0.25882059247777006,0.3277659124982027,62.38499104109749,0.00030068425895461986,0.0011204876930954685,0.4159999770175318,5.343749999999999e-09,8.57375e-09,4.437333333333334e-09,2.929333333333333e-09,0.00013333333333333337,0.00013333333333333337
