design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,sigma_max_rod,sigma_min_rod,sigma_m_rod,sigma_a_rod,tau_m_rod,tau_a_rod,R_rod,sigma_a_eq_rod,sigma_m_eq_rod,S_e_rod,n_f_rod,n_y_rod,n_rod,b_B_rod,N_f_rod,t_f_rod,D_rod,failed_miner_rod,sigma_max_crank,sigma_min_crank,sigma_m_crank,sigma_a_crank,tau_m_crank,tau_a_crank,R_crank,sigma_a_eq_crank,sigma_m_eq_crank,S_e_crank,n_f_crank,n_y_crank,n_crank,b_B_crank,N_f_crank,t_f_crank,D_crank,failed_miner_crank,sigma_max_pin,sigma_min_pin,sigma_m_pin,sigma_a_pin,tau_m_pin,tau_a_pin,R_pin,sigma_a_eq_pin,sigma_m_eq_pin,S_e_pin,n_f_pin,n_y_pin,n_pin,b_B_pin,N_f_pin,t_f_pin,D_pin,failed_miner_pin
12,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.009,0.007,0.006,0.004,0.0035,0.001,0.002,0.05016885369869011,0.037598277886510004,0.06190991154604,391436.0351922965,115381.87202888967,253408.95361059307,138027.08158170342,142568.53296855575,131800.09121166222,0.2947655853202357,266768.1903454189,353826.8751076354,65097141.432109386,207.0152316748834,555.9180522135459,207.0152316748834,-0.12490460904242227,3.6825797269296016e+27,7.365159453859203e+27,5.0833929984207135e-21,False,71362.80588376778,28662.32032920156,50012.56310648467,21350.24277728311,1986599.1367035958,1782754.135540806,0.40164228373931,3087894.550697965,3441254.0804658546,61821352.21570749,17.521289962753396,52.8399672743403,17.521289962753396,-0.12830103652015645,3.460368468890859e+18,6.920736937781718e+18,5.409828510545949e-12,False,13685069.513495544,3700901.539836479,8692985.526666012,4992083.986829532,310463.76880950044,178288.71381534048,0.27043352145101135,5001626.048394824,8709601.633947155,75421685.75701076,11.855674960304269,25.16186062932269,11.855674960304269,-0.11522061387751442,7.2467745087942e+18,1.44935490175884e+19,2.583218227265477e-12,False
13,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.004,0.006,0.004,0.008,0.0014,0.0033,0.0031,0.018874797252496047,0.049714038669381996,0.061222562489361095,577278.3775868404,162677.28792129387,369977.83275406715,207300.54483277327,142817.68000958554,91177.44013125585,0.2818004176794621,260602.17315792068,445055.3515006393,64102902.708237305,200.52891192598716,488.90571976389253,200.52891192598716,-0.12591705400919387,2.646917831114081e+27,5.293835662228162e+27,7.07237670166769e-21,False,255126.23495350406,34310.901053730726,144718.5680036174,110407.66694988667,8840841.68889402,7476949.984109689,0.13448597734366197,12950927.883652002,15313470.826960962,65097141.432109386,4.335523965905036,12.206168032524124,4.335523965905036,-0.12490460904242227,116550857505360.39,233101715010720.78,1.6061657889680505e-07,False,6745119.709604986,2747983.0481179203,4746551.378861453,1998568.3307435329,276882.1637669181,116583.15262670608,0.40740315464006055,2008743.4547697068,4770717.051975343,72754613.06381544,26.67584022334555,50.88900505530656,26.67584022334555,-0.11758892010891937,6.973974712698735e+21,1.394794942539747e+22,2.6842655402683383e-15,False
14,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.012,0.004,0.008,0.006,0.0035,0.0023,0.0018,0.038470352425877076,0.0753339859115791,0.0620030283522924,293288.8089948536,86986.81473306901,190137.81186396128,103150.99713089228,84335.38937027568,74603.96825881394,0.29659097812557655,165340.2082041259,239770.22584366717,62727331.620962925,319.25681060710144,851.6196350531384,319.25681060710144,-0.12734401504436374,4.6108273331062415e+28,9.221654666212483e+28,4.060008898096956e-22,False,83952.00379959909,28297.550087223346,56124.77694341121,27827.22685618787,4091073.9584113583,3756168.786503138,0.3370681914248541,6505934.691699255,7086170.220236153,62727331.620962925,8.446740543801068,25.382382069244546,8.446740543801068,-0.12734401504436374,1.377817420626375e+16,2.75563484125275e+16,1.3586705843427083e-09,False,1987985.196459222,816792.0264793829,1402388.6114693023,585596.5849899196,115858.94484288448,33239.94489155717,0.4108642398012631,588419.9539113517,1416673.4637449512,70824265.14560658,88.95815598529603,172.0618086728651,88.95815598529603,-0.11935783136447027,9.61265870514502e+25,1.922531741029004e+26,1.947432086606843e-19,False
15,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.006,0.005,0.003,0.011,0.0035,0.0022,0.002,0.02377742427011397,0.05142483748421161,0.06190991154604,769999.0674154158,213184.04917959223,491591.558297504,278407.5091179118,29062.220922778994,17007.721811388707,0.27686273685391244,279961.65619041637,494162.01618928736,63997457.96170802,185.26462948545074,445.66522418756267,185.26462948545074,-0.1260253492904078,1.4189871670505854e+27,2.837974334101171e+27,1.3192508314863887e-20,False,129077.72488302462,52695.353901761475,90886.53939239305,38191.18549063157,7937033.658813637,6464477.688589783,0.4082451402789761,11196868.934013406,13747645.990003688,64324620.46266575,4.937510749932069,13.830695888490775,4.937510749932069,-0.12568992236928409,301721040395249.56,603442080790499.1,6.204406552316375e-08,False,2125526.9291620655,719507.5863420286,1422517.257752047,703009.6714100185,90650.05114198707,29598.090885636426,0.33850786667081934,704876.3998377626,1431156.051560604,70030306.25476688,76.75562494102753,161.51440010854876,76.75562494102753,-0.12009942588139734,1.4707519008600784e+25,2.9415038017201567e+25,1.2728183447563634e-18,False
16,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.011,0.003,0.007,0.007,0.0018,0.003,0.003,0.02561800939963236,0.08178331068501299,0.061297300978589986,377392.3402000075,112227.94352018504,244810.14186009625,132582.19833991124,136697.78770224904,123555.78887442836,0.29737737512294854,251746.1781433643,340574.31060728565,62658173.25503553,211.73460339937452,582.4549488870292,211.73460339937452,-0.12741658089238098,1.6379883877730894e+27,3.275976775546179e+27,1.1428652449392873e-20,False,169715.18732595287,39271.913525127595,104493.55042554023,65221.63690041263,7319405.134164357,6536898.094729069,0.2313989345555884,11322427.476673787,12678012.204449685,63997457.96170802,4.9220245744407185,14.374736654151596,4.9220245744407185,-0.1260253492904078,252253560545939.78,504507121091879.56,7.42110436795629e-08,False,2183391.1646936615,1211398.2088452815,1697394.6867694715,485996.47792419,254609.20301542073,72899.47168862852,0.5548241782938814,502131.0341655464,1753746.3503750125,70824265.14560658,93.27695880626112,152.93384399536595,93.27695880626112,-0.11935783136447027,3.6295327699772255e+26,7.259065539954451e+26,5.157688657572711e-20,False
17,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.005,0.012,0.007,0.006,0.0023,0.0018,0.0027,0.046196331823158174,0.07012885264348509,0.0615068137926579,377952.5025973448,112718.77011146539,245335.63635440508,132616.86624293972,215158.3043299979,204596.48404008758,0.29823527913387404,378373.3566952028,446171.33730429265,63177055.74217016,144.65824809372083,418.4127343377351,144.65824809372083,-0.12687407548498658,8.653948305032454e+25,1.7307896610064908e+26,2.1631744655920725e-19,False,117782.89717223967,44433.15217200641,81108.02467212304,36674.87250011663,195350.6109319778,183771.7687998633,0.37724621518716467,320407.9201524067,347942.66085190617,61982933.66479495,169.78877730908985,516.1961548407388,169.78877730908985,-0.12812932837122556,1.753043155347698e+26,3.506086310695396e+26,1.0678573395580258e-19,False,5718285.273431395,3028541.741589879,4373413.507510637,1344871.765920758,184684.49431307847,45005.68821024925,0.5296241087623335,1347129.0222857841,4385096.440786169,70824265.14560658,35.587692970186936,60.186048546511856,35.587692970186936,-0.11935783136447027,9.31180196059617e+22,1.862360392119234e+23,2.010352032744636e-16,False
18,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.011,0.004,0.006,0.01,0.001,0.0017,0.0011,0.03400159779570478,0.10008802966734548,0.062251748242677096,438975.4888277917,128619.2007032899,283797.3447655408,155178.1440622509,132427.11749471817,112184.24969757839,0.2929985932625653,248668.80390437105,364899.6536581679,61982933.66479495,209.75893756495213,562.2844456029346,209.75893756495213,-0.12812932837122556,1.2674758129951932e+27,2.5349516259903864e+27,1.476951260771001e-20,False,158199.65876311072,29080.507283333296,93640.08302322202,64559.575739888714,4283401.573362273,4033474.2170721716,0.18382155505707284,6986480.567365633,7419660.071808936,63020014.87380736,7.922491931468547,23.948121057616408,7.922491931468547,-0.12703779425717937,8613939929883752.0,1.7227879859767504e+16,2.1732215632310117e-09,False,20663773.32145349,12558941.095202835,16611357.208328161,4052416.113125327,1027727.6442984377,263758.1882924054,0.6077757871145404,4078085.518915911,16706461.643185897,75421685.75701076,11.279118447752857,16.598870175486294,11.279118447752857,-0.11522061387751442,4.261679220629092e+19,8.523358441258184e+19,4.3926346941796876e-13,False
19,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.004,0.011,0.012,0.002,0.0039,0.0026,0.0017,0.03326850404164356,0.040157846160482145,0.06204591109201389,315873.8243911471,72917.66451850961,194395.74445482838,121478.07993631875,69554.95443003558,57300.14781933779,0.23084427669516402,156865.6900834868,228699.32339086602,65097141.432109386,346.83509278861044,894.7907303393047,346.83509278861044,-0.12490460904242227,2.5846974524432225e+29,5.169394904886445e+29,7.242627171820303e-23,False,137568210960.91278,4752981368.219325,71160596164.56606,66407614796.346725,30116763397.28908,29799803659.587864,0.0345499976703905,84107408695.01288,88232016632.74692,63020014.87380736,0.0006590701304123362,0.0020018634699742652,0.0006590701304123362,-0.12703779425717937,6.519926624926816e-17,1.3039853249853632e-16,2.8711979561902086e+23,True,1239686.6413561488,345105.1768012088,792395.9090786788,447290.73227746994,79721.68019238075,35315.73471669345,0.2783809757147038,451453.87642266945,804336.941587737,71258750.11984718,124.98889805729549,274.7272834392878,124.98889805729549,-0.11895551398745957,1.0942280312934182e+27,2.1884560625868363e+27,1.7107951418382386e-20,False
20,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.011,0.004,0.005,0.011,0.0013,0.0033,0.0011,0.034114694362459154,0.09150541533472403,0.062251748242677096,524818.2611889902,152071.35403892185,338444.80761395604,186373.45357503416,60391.790097145975,38207.186945479436,0.28976002796549044,197773.68783623836,354240.58595008694,62272143.58616504,255.7953660284746,624.9838389750466,255.7953660284746,-0.1278231075840412,8.843832033220222e+27,1.7687664066440443e+28,2.1167294821613274e-21,False,157361.53911359154,31166.71491579303,94264.12701469229,63097.41209889926,4847780.636153501,4510691.998632248,0.19805802034825876,7813002.508830297,8397131.475357307,63020014.87380736,7.074042308708098,21.282982629047666,7.074042308708098,-0.12703779425717937,3572376785778606.5,7144753571557213.0,5.240208724489273e-09,False,17706399.795090042,8317474.170061834,13011936.982575938,4694462.812514104,581610.2702637089,146870.14245771812,0.4697439494373248,4701350.190563822,13050874.130032673,74656429.87747107,11.111902720190825,19.434184346111714,11.111902720190825,-0.11589146771976179,9.577300740199602e+18,1.9154601480399204e+19,1.9546217152213864e-12,False
21,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.011,0.005,0.004,0.009,0.0025,0.0034,0.0015,0.05177102028968576,0.04569694632571638,0.0621243252446475,386452.96529737464,151042.19172697485,268747.5785121748,117705.3867851999,59945.092979188725,24614.836624753683,0.3908423670931034,125188.77195836476,288106.75707627594,63700235.179271095,390.35451036494936,834.7537676147557,390.35451036494936,-0.12633157007759216,7.115834886703875e+29,1.423166977340775e+30,2.6307524412882053e-23,False,82210.92985121392,33306.62757368277,57758.778712448344,24452.151138765577,3268872.951528305,2881334.811052627,0.4051362468951683,4990678.189168917,5662148.637771572,62272143.58616504,10.885431478847067,32.38577005002198,10.885431478847067,-0.1278231075840412,9.515412241984418e+16,1.9030824483968835e+17,1.967334627647828e-10,False,3092239.9177701804,1242014.82617832,2167127.3719742503,925112.5457959302,160333.99384524615,37866.18194725782,0.4016553887170369,927434.5074423399,2184848.281942507,72219498.84944795,57.585838592280425,110.85110940969167,57.585838592280425,-0.11807453594785416,3.9357383082683896e+24,7.871476616536779e+24,4.756413799330133e-18,False
