design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,utilization,check_static_passed,n_buck,P_cr,N_max_comp,check_buckling_passed,n_rod,S_e_rod,sigma_a_eq_rod,sigma_m_eq_rod,n_f_rod,n_y_rod,N_f_rod,t_f_rod,check_fatigue_rod_passed,n_crank,S_e_crank,sigma_a_eq_crank,sigma_m_eq_crank,n_f_crank,n_y_crank,N_f_crank,t_f_crank,check_fatigue_crank_passed,n_pin,S_e_pin,sigma_a_eq_pin,sigma_m_eq_pin,n_f_pin,n_y_pin,N_f_pin,t_f_pin,check_fatigue_pin_passed,D_rod,check_miner_rod_passed,D_crank,check_miner_crank_passed,D_pin,check_miner_pin_passed,sigma_max,tau_max,theta_sigma_max,theta_tau_max,pass_fail,total_mass,volume_envelope,tau_A_max,E_rev,F_A_max,F_B_max,F_C_max,n_static_rod,n_static_crank,n_static_pin
66,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.006,0.009,0.01,0.009,0.001,0.0018,0.0019,0.047109107807461074,0.13710902558516708,0.0619576951703011,0.3574665950644435,True,12988.835979976555,11645.548401654703,0.8965813733892206,True,388.6184633387325,60652854.559925005,118850.71500192168,296414.24401167536,388.6184633387325,830.7948756849086,1.887369947396788e+29,3.774739894793576e+29,True,8.31850397985287,62333304.85219989,6617412.681379144,6787200.087258193,8.31850397985287,25.737408902045548,1.0668350656296722e+16,2.1336701312593444e+16,True,4.0370351030613865,75421685.75701076,10219079.814532217,54199336.45683965,4.0370351030613865,5.355611329322934,1.4690794645669208e+16,2.9381589291338416e+16,True,9.918564204023767e-23,True,1.7547229748162615e-09,True,1.2742673525505026e-09,True,64343987.11159983,7738713.3373583425,4.4505895925855405,0.5235987755982988,1,0.24617582856292924,0.0019370449136955758,0.12628490597274136,0.07501505412533539,1.4037680361977667,0.9378073200189024,0.3705535248651148,812.462862580368,1386.378748643987,2.7974641933177606
67,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.008,0.009,0.012,0.011,0.0014,0.0027,0.001,0.06297888170259787,0.20108852042354233,0.06227747788651,0.20429553921041033,True,20734.40230970202,25514.773535148,1.2305526416456747,True,444.19911967459495,59422718.22223732,100302.33957786868,272072.2779875372,444.19911967459495,926.4863492995795,3.421773619601427e+29,6.843547239202855e+29,True,6.512784541227386,61381278.632498465,8323784.746945303,8663223.41203788,6.512784541227386,20.309638799905727,1336571218644950.0,2673142437289900.0,True,7.421629231263129,75421685.75701076,5226035.207405775,31612553.290025502,7.421629231263129,9.365179668163902,4.951232259919774e+18,9.902464519839547e+18,True,5.470847017103524e-23,True,1.4005987663701762e-08,True,3.780876965021093e-12,True,36773197.05787386,9807124.685204323,2.356194490192345,0.5235987755982988,1,0.3263448800126502,0.0020477331944781805,0.17387861601309218,0.0934818734521766,1.949324054959849,1.315994837350179,0.4342285303269291,973.7512795516377,1478.3177785478658,4.894869481071091
68,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.008,0.007,0.004,0.009,0.0013,0.0037,0.0038,0.048917263463083324,0.05397725382638681,0.06063078068120439,0.08298057422277613,True,9974.82677930652,4658.219360661881,0.46699751922767063,True,109.04929849132576,63700235.179271095,462729.45380602585,920594.4351504077,109.04929849132576,249.39929307536553,2.2803771706503054e+25,4.560754341300611e+25,True,10.466426374173908,62212142.78443916,5201000.6031163065,5768248.000636908,10.466426374173908,31.451561767134674,6.755817958074929e+16,1.3511635916149858e+17,True,17.06976920673058,73333818.00882263,2382769.990545073,12601951.504785283,17.06976920673058,23.023450926833128,2.0355813144301632e+21,4.0711626288603264e+21,True,8.209168308180148e-19,True,2.7709450012081537e-10,True,9.196390174784269e-15,True,14936503.360099703,6332834.784971855,4.4505895925855405,0.5235987755982988,1,0.16352529797067453,0.0018026377156024136,0.07475063309642134,0.05048617697700525,0.9204725631287449,0.4738660665942451,0.28434239555421514,148.60791071825727,1872.00597298483,12.051013256612588
69,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.011,0.007,0.007,0.004,0.0023,0.0015,0.003,0.06748440414249988,0.042585325244647504,0.061297300978589986,0.03082727446084726,True,1735.3109213394778,715.66607461472,0.41241374431176914,True,301.93006430180594,64562488.99769557,172180.08890234606,311607.5681216289,301.93006430180594,713.1227822600339,9.150093390554705e+28,1.830018678110941e+29,True,20.687080797187292,61161195.48363261,2610918.172971668,2729055.756844815,20.687080797187292,64.6070569883581,1.0019163558256503e+19,2.0038327116513006e+19,True,46.11222564334567,72219498.84944795,1066453.6120310647,3342063.0544966054,46.11222564334567,78.25761499768498,1.2058513684712598e+24,2.4117027369425196e+24,True,2.0458807578208924e-22,True,1.8684194435146624e-12,True,1.5524301327229593e-17,True,4385942.893812974,3082727.446084726,0.5235987755982988,0.5235987755982988,1,0.17136703036573736,0.0016840431290496233,0.07657633239461806,0.04762408636631447,1.041661392787956,0.4152107603852838,0.2757608541340032,566.7950853765706,2573.371976693531,41.04020603047906
70,0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,3.1415926535897927,0.011,0.011,0.011,0.003,0.0036,0.0012,0.0034,0.10605654486115917,0.05028870187869449,0.06098364436805558,0.08197838628604129,True,1054.8733803085038,474.44826821556205,0.44976797886093867,True,491.5252191390484,63997457.96170802,103526.54109286155,201322.68258505373,491.5252191390484,1131.706998750653,3.803925551140424e+30,7.607851102280848e+30,True,26.579601981952425,59699982.27943074,1975726.8478542685,2187301.184708959,26.579601981952425,82.8723701357301,4.928912336877427e+19,9.857824673754854e+19,True,12.371260385277653,73964587.8866962,4388584.167278287,10383979.618287612,12.371260385277653,23.3541046095936,1.3693279667933485e+19,2.738655933586697e+19,True,4.921231961121771e-24,True,3.7979981627872744e-13,True,1.3670939653586379e-12,True,14756109.531487431,2403135.9498835527,0.5235987755982988,0.5235987755982988,1,0.21732889110790926,0.002063545806018552,0.09948883982956276,0.04964492564227138,1.4817197047616337,0.4551481829423837,0.28208101375559486,879.9047158523977,2627.7369111632443,12.198337211844741
71,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.009,0.011,0.01,0.002,0.0026,0.0021,0.0024,0.06901555539577416,0.037354395010580674,0.0616942726262976,0.018321376697451236,True,238.8726881827429,84.9125628745183,0.3554720446297247,True,282.20114577181926,65735219.09362634,194956.7234041261,279069.54172395717,282.20114577181926,727.8077722270938,6.398483461337158e+28,1.2796966922674316e+29,True,34.300345865475364,60344367.08739388,1557326.816188613,1616551.7035065994,34.300345865475364,108.69981250357698,3.954562622865507e+20,7.909125245731014e+20,True,78.81908227972988,69665662.35846618,510168.3534177707,2590902.165457334,78.81908227972988,111.25190410863239,1.8222796616273247e+26,3.6445593232546494e+26,True,2.9256932698373944e-22,True,4.733772552180585e-14,True,1.0272846914881738e-19,True,3084954.843001658,1832137.6697451235,4.4505895925855405,0.5235987755982988,1,0.16806422303265242,0.0016905885276221225,0.05621376907313822,0.024827871587336146,0.9678455555787403,0.3587047051413449,0.25280824258426604,519.3527519377456,3345.2846942116707,58.34769361643562
73,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.004,0.008,0.008,0.004,0.003,0.0021,0.0029,0.021944071383239627,0.05971465330101163,0.061369589025549086,0.022505890369000282,True,1150.0074737527136,543.4404023969172,0.4725538005623199,True,231.10916339350214,64102902.708237305,234116.30008504176,325911.2792860153,231.10916339350214,616.0410892396668,6.200111911780105e+27,1.240022382356021e+28,True,30.932533255626605,64102902.708237305,1792109.6511712563,2111511.530913971,30.932533255626605,88.37947738968583,5.921579840276565e+20,1.184315968055313e+21,True,75.95251707809726,69665662.35846618,719098.0279582343,1373647.4299550857,75.95251707809726,164.85521385099557,1.0541307038428056e+25,2.108261407685611e+25,True,3.0193003394716673e-21,True,3.161318517175594e-14,True,1.7758708603929982e-18,True,2079355.5473339548,2250589.036900028,0.5235987755982988,0.5235987755982988,1,0.14302831370980035,0.0015806315502158055,0.049295330597877385,0.028167315950136797,0.6611725928677731,0.47263572189456987,0.27729673807991617,446.0750749141358,889.8184470124181,86.56528232066275
75,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.005,0.008,0.007,0.003,0.0013,0.002,0.0024,0.02769193966969675,0.039165387625850645,0.0616942726262976,0.06172378775060216,True,549.5738787122092,200.60592979104948,0.3650208599089898,True,204.54355596998084,65563855.92429537,269475.7483671001,376164.10246678966,204.54355596998084,534.3536331507541,4.3266395426068844e+27,8.653279085213769e+27,True,21.259896767221605,63342180.57121437,2566564.4586225855,3148133.756932814,21.259896767221605,60.37064198086796,2.5744721210108236e+19,5.148944242021647e+19,True,17.519960111258012,73333818.00882263,2941257.091273252,8196495.200405805,17.519960111258012,30.975729300224,3.3690424235072356e+20,6.738084847014471e+20,True,4.326683518618433e-21,True,7.271393559565875e-13,True,5.55647499995329e-14,True,11110281.79510839,3298896.9020839557,0.7853981633974483,0.5235987755982988,1,0.128551599921845,0.0014294407062821197,0.041636494313481126,0.025105408553067806,0.5990940885001123,0.36777438157147435,0.25465280468034807,390.0858723817038,1847.8743129123727,16.20120923298723
76,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.01,0.005,0.005,0.002,0.0035,0.0033,0.0015,0.03376720957346035,0.019370205942874138,0.0621243252446475,0.029643761325845123,True,151.81809931617815,39.10141788716356,0.2575543895180145,True,25.00293436528271,68218665.5135579,2375468.4682882316,2499003.2636757544,25.00293436528271,70.77690034341323,2.9918462246456656e+20,5.983692449291331e+20,True,23.104755903501992,62590486.07795339,2347848.078528537,2786847.7525118208,23.104755903501992,67.18995853939383,3.914575502190101e+19,7.829151004380203e+19,True,316.13001680535376,72219498.84944795,166829.66616455084,412104.83655960043,316.13001680535376,595.9223338333048,8.02942537062203e+30,1.605885074124406e+31,True,6.257006073972626e-14,True,4.782127714621076e-13,True,2.3314246208069287e-24,True,689284.0940579753,2964376.1325845122,4.71238898038469,0.5235987755982988,1,0.11526174076098197,0.0012884293728715349,0.03291927728213225,0.020743937370154893,0.539009270213809,0.2724945836501613,0.2333969779953164,261.1405102071894,3743.275438759583,326.9149373994725
77,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.006,0.008,0.008,0.01,0.0034,0.0034,0.0016,0.03196387549444447,0.15544699387876063,0.062086343389465594,0.10650967567001333,True,7951.052889132453,7820.283577432712,0.9835532081696404,True,129.98023836014542,61036258.71850713,407331.8408474546,492598.59221019177,129.98023836014542,383.3629659881727,1.6922795778316797e+25,3.3845591556633594e+25,True,6.081554775678686,62727331.620962925,9100284.375907814,9348356.188781999,6.081554775678686,18.700564889335013,987850817147599.1,1975701634295198.2,True,27.21893657009452,71722496.3373247,1809899.0518539543,5556616.100206737,27.21893657009452,46.83354243878675,1.1215485125350092e+22,2.2430970250700184e+22,True,1.1062001955956925e-18,True,1.8950229807020508e-08,True,1.6691208441521298e-15,True,7348898.9088645615,10650967.567001333,2.0943951023931953,0.5235987755982988,1,0.24949721276267067,0.0017443351509645398,0.09504993371104285,0.04037034595764489,1.2757417985480763,0.9880372953654922,0.3950380952999387,419.02327891304935,1228.8469499844302,24.493465243191217
78,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.005,0.004,0.008,0.004,0.0027,0.0023,0.0026,0.013341734362459157,0.06221704170648909,0.061571750512807596,0.1989482444613933,True,1042.768323344086,500.4981489556936,0.47997061068237157,True,271.780284674865,64102902.708237305,195486.56805303742,304226.4392258792,271.780284674865,690.3962774125608,2.5962973905303952e+28,5.1925947810607904e+28,True,3.6281886139364645,65735219.09362634,15543542.336885134,18915625.998529006,3.6281886139364645,10.011849289045056,31838369557935.234,63676739115870.47,True,199.19197811972464,68990827.91667391,265982.05562712013,562674.523987977,199.19197811972464,416.33652406434663,2.8591747387541323e+28,5.718349477508265e+28,True,7.210268002532525e-22,True,5.879698068689049e-07,True,6.5473438003852555e-22,True,804052.6837268906,19894824.446139332,0.5235987755982988,0.5235987755982988,1,0.13713052658175584,0.0012355707319332157,0.04521013159589802,0.026768798603224158,0.5926336402116827,0.4802174227228757,0.2795778573025208,417.2518638702599,1241.3903629282527,223.865927747018
