design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
80,0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,3.1415926535897927,0.005,0.002,0.003,0.009,0.0032,0.0028,0.0028,0.006642480018810077,0.05195396396721455,0.06143942663023839,1.8224999999999997e-10,2137.8700229806664,0.42544081313132076,5025.070367004893,True
81,0.114,0.16,0.041,0.25005846224273326,1.8669686872610802,3.1415926535897927,0.004,0.005,0.009,0.007,0.0026,0.0017,0.0018,0.017823815401205374,0.0792210788055072,0.0620030283522924,2.5725e-10,7249.908750874038,0.6537621901592685,11089.519797876084,True
82,0.114,0.16,0.041,0.25005846224273326,1.8669686872610802,3.1415926535897927,0.012,0.012,0.011,0.004,0.0025,0.0034,0.0027,0.13004896869524582,0.05549685163214269,0.0615068137926579,5.866666666666667e-11,1653.3643539408235,0.5217141305843658,3169.100196862427,True
83,0.114,0.16,0.041,0.25005846224273326,1.8669686872610802,3.1415926535897927,0.007,0.004,0.011,0.002,0.0029,0.0019,0.0031,0.02512721683917004,0.02772302576596622,0.061222562489361095,7.333333333333334e-12,206.67054424260294,0.36817912621044435,561.3315083062963,True
84,0.114,0.16,0.041,0.25005846224273326,1.8669686872610802,3.1415926535897927,0.009,0.01,0.009,0.006,0.0015,0.0024,0.0034,0.08090619893547255,0.06797685509830596,0.06098364436805558,1.6199999999999998e-10,4565.540204632046,0.5884117431645458,7759.090904743076,True
85,0.114,0.16,0.041,0.25005846224273326,1.8669686872610802,3.1415926535897927,0.007,0.002,0.008,0.011,0.002,0.0016,0.0038,0.012564985493550559,0.11053169823886848,0.06063078068120439,8.873333333333333e-10,25007.135853354954,0.8227133889413654,30395.926685395425,True
86,0.109,0.188,0.069,0.25040290668971465,1.7154312706609245,3.1415926535897927,0.006,0.008,0.006,0.004,0.003,0.0037,0.0019,0.040951829297964745,0.035293833487324594,0.0619576951703011,3.2e-11,653.2078603165523,0.38276494440004366,1706.5508999012654,True
87,0.109,0.188,0.069,0.25040290668971465,1.7154312706609245,3.1415926535897927,0.009,0.007,0.01,0.009,0.0016,0.0034,0.0014,0.05418559571513241,0.13291537546152685,0.0621598566575596,6.074999999999999e-10,12400.742973197048,0.8993788130335286,13788.11997068331,True
88,0.109,0.188,0.069,0.25040290668971465,1.7154312706609245,3.1415926535897927,0.006,0.001,0.012,0.008,0.0026,0.0027,0.0024,0.005139148215273274,0.14204427456758217,0.0616942726262976,5.12e-10,10451.325765064837,0.9467050696440864,11039.685008757808,True
89,0.109,0.188,0.069,0.25040290668971465,1.7154312706609245,3.1415926535897927,0.01,0.012,0.011,0.006,0.0025,0.0019,0.0018,0.10335835917659317,0.09748299705677806,0.0620030283522924,1.9800000000000001e-10,4041.723635708668,0.7096531933489508,5695.350452289546,True
90,0.109,0.188,0.069,0.25040290668971465,1.7154312706609245,3.1415926535897927,0.007,0.01,0.008,0.005,0.0024,0.0023,0.0028,0.06012016532296774,0.05904942116246908,0.06143942663023839,8.333333333333336e-11,1701.062136241022,0.5026618801076125,3384.108092455409,True
91,0.086,0.273,0.176,0.2497075577639581,1.5879362171330413,3.1415926535897927,0.012,0.008,0.01,0.006,0.0024,0.0028,0.0025,0.0656771597026144,0.12848629902627778,0.0616342367906875,1.8e-10,1742.466083129168,0.8159749817511819,2135.440573667618,True
92,0.086,0.273,0.176,0.2497075577639581,1.5879362171330413,3.1415926535897927,0.007,0.009,0.005,0.006,0.0011,0.0039,0.0039,0.04258358410342237,0.06367646319229024,0.06053643865381708,9e-11,871.233041564584,0.475088677740358,1833.8324662006025,True
93,0.086,0.273,0.176,0.2497075577639581,1.5879362171330413,3.1415926535897927,0.004,0.005,0.011,0.009,0.0018,0.0026,0.0023,0.013452894716274996,0.21203811383960047,0.061751858019637895,6.682499999999997e-10,6468.905333617034,1.2523753386963004,5165.308780633643,True
94,0.086,0.273,0.176,0.2497075577639581,1.5879362171330413,3.1415926535897927,0.003,0.009,0.011,0.003,0.0021,0.0011,0.0024,0.01813870157498378,0.0705925531303462,0.0616942726262976,2.4750000000000002e-11,239.5890864302606,0.5139230046267486,466.19646186935944,True
95,0.086,0.273,0.176,0.2497075577639581,1.5879362171330413,3.1415926535897927,0.004,0.01,0.008,0.005,0.0037,0.003,0.0029,0.026487186622455926,0.08556312250103477,0.061369589025549086,8.333333333333336e-11,806.6972607079483,0.5913003768089073,1364.2765882570231,True
