design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,sigma_rod,tau_rod,sigma_crank,tau_crank,sigma_pin,tau_pin,sigma,tau
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,119.99999999999999,170448.18528609522,13886.82263695088,49260.67006184587,36169934.75359309,953893.402602516,107740.57901196966,953893.402602516,36169934.75359309
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,135.0,210868.6714442235,14254.064818078756,56999.15903305863,40207640.72601671,808990.0352345387,120134.38867298872,808990.0352345387,40207640.72601671
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,150.0,252054.30357459246,23207.058211820102,31445.65943778651,44326886.98438752,741217.4145348022,129602.78000167463,741217.4145348022,44326886.98438752
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,165.0,289847.91626410634,32155.59974185386,91496.37156972475,46168970.88110325,701388.8710600318,136970.21902490323,701388.8710600318,46168970.88110325
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,180.0,322401.1712575998,39800.620075062034,191286.75389269885,44935718.387152806,674400.1430000823,142952.8848024337,674400.1430000823,44935718.387152806
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,195.0,348988.44644911884,46198.41077878817,288842.25895724824,40460202.32597682,654898.9294163957,147750.1465381247,654898.9294163957,40460202.32597682
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,210.00000000000003,369567.7994429488,51441.11777137648,373511.35907214874,32991915.841087446,640790.6787725963,151329.98351856304,640790.6787725963,32991915.841087446
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,225.0,384533.74850160757,55665.89731297493,436737.1672966528,23126663.73555531,631259.2813479829,153575.4655958886,631259.2813479829,23126663.73555531
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,239.99999999999997,394506.90620650904,59022.28551525401,472728.89876464754,11733659.607437098,625976.512520916,154379.40798836792,625976.512520916,11733659.607437098
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,255.00000000000003,400128.9477596368,61619.139458933736,479256.26705679146,170910.56351394128,624646.9571579994,153728.0090305188,624646.9571579994,170910.56351394128
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,270.0,401877.2363745117,63469.89576549823,457893.62106066896,11606954.566233113,626685.3125001503,151768.58432564005,626685.3125001503,11606954.566233113
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,285.0,399931.2752024975,64460.127011125434,413188.2770091909,21819155.079713847,631051.0031174031,148829.69220128047,631051.0031174031,21819155.079713847
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,300.0,394121.7732678165,64358.32031743073,350774.10580976773,30380127.836865984,636331.1930428117,145363.68195523348,636331.1930428117,30380127.836865984
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,315.0,383976.02141696354,62873.41937967238,275241.81729675183,37136637.34206577,641100.0543497368,141818.24284649306,641100.0543497368,37136637.34206577
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,330.0,372464.74204739253,106465.47140571785,422427.2817803973,22344615.040707648,767592.8266285775,146109.21800884462,767592.8266285775,22344615.040707648
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,345.0,351886.63336362084,100952.86327436115,370254.02275265293,34311266.18522442,738034.2497004151,150090.39806142703,738034.2497004151,34311266.18522442
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,0.0,1150967.3843204197,73145.63286498221,262139.1358471512,159867.10012387208,1863162.2491071408,110303.15101275135,1863162.2491071408,159867.10012387208
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,14.999999999999998,1029538.8167925336,66706.9467938087,139215.97538196907,190337.14131172578,1897052.2740620573,112680.88902825287,1897052.2740620573,190337.14131172578
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,29.999999999999996,888260.8490917674,58766.22959040042,104709.7227934068,201872.2147893266,1904384.3463806466,114104.83221118318,1904384.3463806466,201872.2147893266
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,45.0,732903.7182502486,49436.13126289016,173563.10188866683,187084.81966768607,1867394.5501490282,113716.70778550694,1867394.5501490282,187084.81966768607
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,59.99999999999999,574936.6544223053,38591.243995584366,310619.33959751896,137667.3216020233,1709450.2667443885,108060.11573548886,1709450.2667443885,137667.3216020233
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,75.0,438214.85105649434,26262.783053032552,344757.2038956834,47595.95862246247,1345936.8128065662,87485.89283242679,1345936.8128065662,87485.89283242679
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,90.0,385523.120685664,24001.648044920235,259391.24725162477,31600.272774087105,1002021.0001797085,65131.36501168105,1002021.0001797085,65131.36501168105
